step,tokens,ce,bpb,split,checkpoint
153000,1253376000,3.13187983,1.14529684,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_153000_loss_2.9718.pt
156000,1277952000,3.09254588,1.13091281,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_156000_loss_3.0735.pt
159000,1302528000,3.06677983,1.12149043,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_159000_loss_3.1714.pt
162000,1327104000,3.04809354,1.11465704,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_162000_loss_2.8704.pt
165000,1351680000,3.03205891,1.10879334,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_165000_loss_2.8242.pt
168000,1376256000,3.02140032,1.10489560,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_168000_loss_2.9979.pt
171000,1400832000,3.01173889,1.10136251,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_171000_loss_2.8304.pt
174000,1425408000,2.99958580,1.09691825,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_174000_loss_3.0013.pt
177000,1449984000,2.99004120,1.09342788,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_177000_loss_2.9405.pt
180000,1474560000,2.98161024,1.09034477,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_180000_loss_2.9105.pt
183000,1499136000,2.97090708,1.08643073,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_183000_loss_3.0194.pt
186000,1523712000,2.96420755,1.08398078,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_186000_loss_2.9722.pt
189000,1548288000,2.95737657,1.08148276,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_189000_loss_2.9501.pt
192000,1572864000,2.94880209,1.07834716,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_192000_loss_2.6777.pt
195000,1597440000,2.94282839,1.07616264,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_195000_loss_2.8123.pt
198000,1622016000,2.93825852,1.07449148,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_198000_loss_2.9838.pt
201000,1646592000,2.93119543,1.07190858,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_201000_loss_2.9122.pt
204000,1671168000,2.92505931,1.06966466,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_204000_loss_3.0385.pt
207000,1695744000,2.92264223,1.06878076,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_207000_loss_2.9367.pt
210000,1720320000,2.91549681,1.06616775,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_210000_loss_2.7617.pt
213000,1744896000,2.91297508,1.06524558,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_213000_loss_2.9861.pt
216000,1769472000,2.90848177,1.06360242,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_216000_loss_3.0133.pt
219000,1794048000,2.90285790,1.06154583,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_219000_loss_2.8610.pt
222000,1818624000,2.89769688,1.05965850,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_222000_loss_2.9817.pt
225000,1843200000,2.89313389,1.05798986,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_225000_loss_2.7637.pt
228000,1867776000,2.88867668,1.05635990,primary,/mnt/nvme1n1/erikg/diloco_sweep/seed_race_i4/levelE97_100m_20260617_164227/checkpoint_step_228000_loss_2.9035.pt
