step,tokens,ce,bpb,split,checkpoint
21500,176128000,3.83797960,1.40351040,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_021500_loss_3.7778.pt
43000,352256000,3.51076890,1.28385275,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_043000_loss_3.6134.pt
64500,528384000,3.74483331,1.36944774,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_064500_loss_3.1246.pt
86000,704512000,3.41062167,1.24722992,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_086000_loss_3.2462.pt
107500,880640000,3.51953348,1.28705787,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_107500_loss_2.9974.pt
129000,1056768000,3.34544453,1.22339529,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_129000_loss_3.1436.pt
150500,1232896000,3.36097260,1.22907375,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_150500_loss_3.0442.pt
172000,1409024000,3.37655313,1.23477140,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_172000_loss_3.0994.pt
193500,1585152000,3.38484706,1.23780440,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_193500_loss_3.1688.pt
215000,1761280000,3.39313256,1.24083433,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_215000_loss_3.1107.pt
236500,1937408000,3.20002006,1.17021503,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_236500_loss_3.0776.pt
244141,2000003072,3.20662014,1.17262861,primary,/mnt/nvme1n1/erikg/ref_emender_mlp/runs/levelE97_100m_20260615_211750/checkpoint_step_244141_loss_3.1168.pt
