[e98-cma-lm s2] step 25 | loss 11.4162 | 29s/900s | tok 51225 | 2342 tok/s
[e98-cma-lm s2] step 50 | loss 11.1348 | 52s/900s | tok 102450 | 2294 tok/s
[e98-cma-lm s2] step 75 | loss 10.9087 | 74s/900s | tok 153675 | 2273 tok/s
[e98-cma-lm s2] step 100 | loss 10.9771 | 97s/900s | tok 204900 | 2255 tok/s
[e98-cma-lm s2] step 125 | loss 9.9300 | 119s/900s | tok 256125 | 2262 tok/s
[e98-cma-lm s2] step 150 | loss 9.1367 | 142s/900s | tok 307350 | 2254 tok/s
[e98-cma-lm s2] step 175 | loss 9.9582 | 165s/900s | tok 358575 | 2255 tok/s
[e98-cma-lm s2] step 200 | loss 10.5686 | 188s/900s | tok 409800 | 2251 tok/s
[e98-cma-lm s2] step 225 | loss 11.5421 | 211s/900s | tok 461025 | 2239 tok/s
[e98-cma-lm s2] step 250 | loss 8.1279 | 234s/900s | tok 512250 | 2244 tok/s
[e98-cma-lm s2] step 275 | loss 7.8181 | 257s/900s | tok 563475 | 2251 tok/s
[e98-cma-lm s2] step 300 | loss 8.3507 | 280s/900s | tok 614700 | 2240 tok/s
[e98-cma-lm s2] step 325 | loss 7.9917 | 303s/900s | tok 665925 | 2236 tok/s
[e98-cma-lm s2] step 350 | loss 8.6804 | 326s/900s | tok 717150 | 2235 tok/s
[e98-cma-lm s2] step 375 | loss 8.1887 | 349s/900s | tok 768375 | 2231 tok/s
[e98-cma-lm s2] step 400 | loss 8.0871 | 372s/900s | tok 819600 | 2236 tok/s
[e98-cma-lm s2] step 425 | loss 7.4589 | 395s/900s | tok 870825 | 2233 tok/s
[e98-cma-lm s2] step 450 | loss 7.4421 | 418s/900s | tok 922050 | 2247 tok/s
[e98-cma-lm s2] step 475 | loss 7.4153 | 441s/900s | tok 973275 | 2249 tok/s
[e98-cma-lm s2] step 500 | loss 7.5718 | 464s/900s | tok 1024500 | 2249 tok/s
[e98-cma-lm s2] step 525 | loss 6.8659 | 487s/900s | tok 1075725 | 2243 tok/s
[e98-cma-lm s2] step 550 | loss 6.8922 | 509s/900s | tok 1126950 | 2248 tok/s
[e98-cma-lm s2] step 575 | loss 7.5090 | 532s/900s | tok 1178175 | 2257 tok/s
[e98-cma-lm s2] step 600 | loss 7.4952 | 555s/900s | tok 1229400 | 2316 tok/s
[e98-cma-lm s2] step 625 | loss 7.5604 | 578s/900s | tok 1280625 | 2247 tok/s
[e98-cma-lm s2] step 650 | loss 6.6488 | 600s/900s | tok 1331850 | 2243 tok/s
[e98-cma-lm s2] step 675 | loss 7.5075 | 623s/900s | tok 1383075 | 2277 tok/s
[e98-cma-lm s2] step 700 | loss 7.5196 | 646s/900s | tok 1434300 | 2243 tok/s
[e98-cma-lm s2] step 725 | loss 7.2338 | 669s/900s | tok 1485525 | 2279 tok/s
[e98-cma-lm s2] step 750 | loss 9.8980 | 691s/900s | tok 1536750 | 2239 tok/s
[e98-cma-lm s2] step 775 | loss 7.4428 | 714s/900s | tok 1587975 | 2262 tok/s
[e98-cma-lm s2] step 800 | loss 6.0316 | 737s/900s | tok 1639200 | 2269 tok/s
[e98-cma-lm s2] step 825 | loss 5.9978 | 760s/900s | tok 1690425 | 2251 tok/s
/home/erikg/ndm/.wg-worktrees/agent-1120/experiments/e99_1p3b_controls/e99_lm_controls.py:334: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp=datetime.datetime.utcnow().isoformat() + 'Z',
CONTROL_RESULT {"config": "e98-cma-lm", "level": "e98-cma-lm", "role": "CONTROL: E98-CMA unified Emender (cma-capability meta-config)", "seed": 2, "params": 1277608704, "params_b": 1.2776, "dim": 3072, "depth": 17, "n_heads": 192, "n_state": 16, "expansion": 1.0, "lr": 0.000979, "knob_lr_mult": 5.38, "batch_size": 1, "chunk_size": 2048, "dtype": "fp32", "n_knob_params": 68, "train_minutes": 15.0, "walltime_s": 767.6, "steps": 833, "total_tokens": 1706817, "avg_loss": NaN, "final_loss": NaN, "late_train_loss": NaN, "loss_first": 11.402785, "heldout_nats_per_token": NaN, "heldout_bytes_per_token": 3.8712, "heldout_bpb": NaN, "heldout_tokens": 16384, "sustained_tok_s": 2259.0, "peak_mem_mb": 34827.1, "nan_seen": true, "stop_reason": "HARD_STOP_NaN", "roundtrip_l_pre": NaN, "roundtrip_l_post": NaN, "roundtrip_delta": NaN, "roundtrip_n_missing": 0, "roundtrip_n_unexpected": 0, "roundtrip_ok": false, "gpu_days_per_1B_tok": 5.123445178583012, "gpu_days_per_10B_tok": 51.23445178583011, "timestamp": "2026-06-05T22:36:34.213993Z"}
