[fla-gdn s2] step 25 | loss 8.7943 | 21s/900s | tok 102450 | 8392 tok/s
[fla-gdn s2] step 50 | loss 8.2558 | 33s/900s | tok 204900 | 8376 tok/s
[fla-gdn s2] step 75 | loss 7.8986 | 45s/900s | tok 307350 | 8130 tok/s
[fla-gdn s2] step 100 | loss 6.9996 | 58s/900s | tok 409800 | 8107 tok/s
[fla-gdn s2] step 125 | loss 7.3246 | 71s/900s | tok 512250 | 7881 tok/s
[fla-gdn s2] step 150 | loss 7.6757 | 84s/900s | tok 614700 | 7894 tok/s
[fla-gdn s2] step 175 | loss 7.8654 | 97s/900s | tok 717150 | 7852 tok/s
[fla-gdn s2] step 200 | loss 7.5243 | 110s/900s | tok 819600 | 7828 tok/s
[fla-gdn s2] step 225 | loss 7.2868 | 124s/900s | tok 922050 | 7784 tok/s
[fla-gdn s2] step 250 | loss 7.2034 | 137s/900s | tok 1024500 | 7767 tok/s
[fla-gdn s2] step 275 | loss 6.6683 | 150s/900s | tok 1126950 | 7792 tok/s
[fla-gdn s2] step 300 | loss 6.6544 | 164s/900s | tok 1229400 | 7725 tok/s
[fla-gdn s2] step 325 | loss 6.5848 | 177s/900s | tok 1331850 | 7134 tok/s
[fla-gdn s2] step 350 | loss 6.9251 | 192s/900s | tok 1434300 | 7667 tok/s
[fla-gdn s2] step 375 | loss 7.5835 | 207s/900s | tok 1536750 | 7868 tok/s
[fla-gdn s2] step 400 | loss 6.0979 | 222s/900s | tok 1639200 | 7737 tok/s
[fla-gdn s2] step 425 | loss 6.3624 | 238s/900s | tok 1741650 | 7195 tok/s
[fla-gdn s2] step 450 | loss 7.1956 | 252s/900s | tok 1844100 | 6921 tok/s
[fla-gdn s2] step 475 | loss 6.7743 | 270s/900s | tok 1946550 | 7549 tok/s
[fla-gdn s2] step 500 | loss 6.6315 | 284s/900s | tok 2049000 | 7280 tok/s
[fla-gdn s2] step 525 | loss 6.4699 | 301s/900s | tok 2151450 | 6457 tok/s
[fla-gdn s2] step 550 | loss 6.3240 | 317s/900s | tok 2253900 | 7660 tok/s
[fla-gdn s2] step 575 | loss 5.2341 | 336s/900s | tok 2356350 | 4386 tok/s
[fla-gdn s2] step 600 | loss 6.3520 | 355s/900s | tok 2458800 | 4319 tok/s
[fla-gdn s2] step 625 | loss 5.1396 | 373s/900s | tok 2561250 | 7280 tok/s
[fla-gdn s2] step 650 | loss 6.2688 | 393s/900s | tok 2663700 | 6451 tok/s
[fla-gdn s2] step 675 | loss 6.0764 | 407s/900s | tok 2766150 | 7839 tok/s
[fla-gdn s2] step 700 | loss 6.6115 | 420s/900s | tok 2868600 | 7777 tok/s
[fla-gdn s2] step 725 | loss 5.3959 | 434s/900s | tok 2971050 | 7734 tok/s
[fla-gdn s2] step 750 | loss 5.6794 | 447s/900s | tok 3073500 | 7701 tok/s
[fla-gdn s2] step 775 | loss 6.1989 | 461s/900s | tok 3175950 | 7697 tok/s
[fla-gdn s2] step 800 | loss 5.6700 | 474s/900s | tok 3278400 | 7723 tok/s
[fla-gdn s2] step 825 | loss 5.1201 | 487s/900s | tok 3380850 | 7675 tok/s
[fla-gdn s2] step 850 | loss 5.7500 | 501s/900s | tok 3483300 | 7698 tok/s
[fla-gdn s2] step 875 | loss 5.4379 | 514s/900s | tok 3585750 | 7702 tok/s
[fla-gdn s2] step 900 | loss 6.2359 | 528s/900s | tok 3688200 | 7669 tok/s
[fla-gdn s2] step 925 | loss 5.3503 | 541s/900s | tok 3790650 | 7709 tok/s
[fla-gdn s2] step 950 | loss 5.6602 | 555s/900s | tok 3893100 | 7666 tok/s
[fla-gdn s2] step 975 | loss 6.3389 | 568s/900s | tok 3995550 | 7712 tok/s
[fla-gdn s2] step 1000 | loss 5.9480 | 582s/900s | tok 4098000 | 7718 tok/s
[fla-gdn s2] step 1025 | loss 7.2388 | 595s/900s | tok 4200450 | 7715 tok/s
[fla-gdn s2] step 1050 | loss 5.3723 | 608s/900s | tok 4302900 | 7713 tok/s
[fla-gdn s2] step 1075 | loss 5.9016 | 622s/900s | tok 4405350 | 7716 tok/s
[fla-gdn s2] step 1100 | loss 5.1188 | 635s/900s | tok 4507800 | 7624 tok/s
[fla-gdn s2] step 1125 | loss 6.1437 | 649s/900s | tok 4610250 | 7686 tok/s
[fla-gdn s2] step 1150 | loss 5.8947 | 662s/900s | tok 4712700 | 7716 tok/s
[fla-gdn s2] step 1175 | loss 5.5999 | 675s/900s | tok 4815150 | 7784 tok/s
[fla-gdn s2] step 1200 | loss 5.5281 | 689s/900s | tok 4917600 | 7909 tok/s
[fla-gdn s2] step 1225 | loss 5.6735 | 702s/900s | tok 5020050 | 7669 tok/s
[fla-gdn s2] step 1250 | loss 5.7398 | 716s/900s | tok 5122500 | 7771 tok/s
[fla-gdn s2] step 1275 | loss 5.3357 | 729s/900s | tok 5224950 | 7710 tok/s
[fla-gdn s2] step 1300 | loss 6.0202 | 742s/900s | tok 5327400 | 7715 tok/s
[fla-gdn s2] step 1325 | loss 5.3584 | 756s/900s | tok 5429850 | 7586 tok/s
[fla-gdn s2] step 1350 | loss 5.5435 | 769s/900s | tok 5532300 | 7739 tok/s
[fla-gdn s2] step 1375 | loss 4.9674 | 783s/900s | tok 5634750 | 7673 tok/s
[fla-gdn s2] step 1400 | loss 5.1780 | 796s/900s | tok 5737200 | 7670 tok/s
[fla-gdn s2] step 1425 | loss 6.0432 | 809s/900s | tok 5839650 | 7678 tok/s
[fla-gdn s2] step 1450 | loss 5.9170 | 823s/900s | tok 5942100 | 7657 tok/s
[fla-gdn s2] step 1475 | loss 5.0535 | 836s/900s | tok 6044550 | 7617 tok/s
[fla-gdn s2] step 1500 | loss 3.5384 | 850s/900s | tok 6147000 | 7660 tok/s
[fla-gdn s2] step 1525 | loss 6.0046 | 863s/900s | tok 6249450 | 7850 tok/s
[fla-gdn s2] step 1550 | loss 5.0235 | 877s/900s | tok 6351900 | 7620 tok/s
[fla-gdn s2] step 1575 | loss 5.4359 | 890s/900s | tok 6454350 | 7596 tok/s
