Using device: cuda
Output directory: experiments/emender_1p3b_cma/heldout/leveltyped-gdn2-lm_100m_20260611_191934
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 1,287,942,344 parameters
Using schedule-free AdamW (lr=0.0011083449181198209)

Starting training from step 0...
Batch size: 2, Chunk size: 2048
Gradient accumulation: 1, Effective batch: 2

Time-based training: 15.0 min budget (from process start). Init took 21.4s, 878.6s remaining for training.
step     10 | loss 10.4450 | lr 1.11e-03 | grad 40.25 | tok/s 2755 | elapsed_h 0.010 | time 2026-06-11T19:20:05+00:00
step     20 | loss 9.0128 | lr 1.11e-03 | grad 27.25 | tok/s 7688 | elapsed_h 0.012 | time 2026-06-11T19:20:10+00:00
step     30 | loss 8.9629 | lr 1.11e-03 | grad 30.00 | tok/s 7600 | elapsed_h 0.013 | time 2026-06-11T19:20:16+00:00
step     40 | loss 8.3141 | lr 1.11e-03 | grad 12.06 | tok/s 7549 | elapsed_h 0.015 | time 2026-06-11T19:20:21+00:00
step     50 | loss 8.4503 | lr 1.11e-03 | grad 8.75 | tok/s 7461 | elapsed_h 0.016 | time 2026-06-11T19:20:27+00:00
step     60 | loss 7.8134 | lr 1.11e-03 | grad 4.28 | tok/s 7367 | elapsed_h 0.018 | time 2026-06-11T19:20:33+00:00
step     70 | loss 7.6801 | lr 1.11e-03 | grad 3.62 | tok/s 7328 | elapsed_h 0.019 | time 2026-06-11T19:20:38+00:00
step     80 | loss 7.6592 | lr 1.11e-03 | grad 5.84 | tok/s 7294 | elapsed_h 0.021 | time 2026-06-11T19:20:44+00:00
step     90 | loss 7.4397 | lr 1.11e-03 | grad 2.98 | tok/s 7236 | elapsed_h 0.022 | time 2026-06-11T19:20:50+00:00
step    100 | loss 7.4649 | lr 1.11e-03 | grad 4.25 | tok/s 7191 | elapsed_h 0.024 | time 2026-06-11T19:20:56+00:00
step    110 | loss 7.1582 | lr 1.11e-03 | grad 2.75 | tok/s 7144 | elapsed_h 0.026 | time 2026-06-11T19:21:01+00:00
step    120 | loss 7.3123 | lr 1.11e-03 | grad 2.47 | tok/s 7101 | elapsed_h 0.027 | time 2026-06-11T19:21:07+00:00
step    130 | loss 7.2678 | lr 1.11e-03 | grad 2.61 | tok/s 7091 | elapsed_h 0.029 | time 2026-06-11T19:21:13+00:00
step    140 | loss 7.5335 | lr 1.11e-03 | grad 2.69 | tok/s 7034 | elapsed_h 0.031 | time 2026-06-11T19:21:19+00:00
step    150 | loss 7.0935 | lr 1.11e-03 | grad 3.58 | tok/s 7030 | elapsed_h 0.032 | time 2026-06-11T19:21:25+00:00
step    160 | loss 6.9958 | lr 1.11e-03 | grad 2.19 | tok/s 7006 | elapsed_h 0.034 | time 2026-06-11T19:21:31+00:00
step    170 | loss 7.1677 | lr 1.11e-03 | grad 2.17 | tok/s 6986 | elapsed_h 0.036 | time 2026-06-11T19:21:37+00:00
step    180 | loss 6.9912 | lr 1.11e-03 | grad 1.95 | tok/s 6980 | elapsed_h 0.037 | time 2026-06-11T19:21:43+00:00
step    190 | loss 7.1203 | lr 1.11e-03 | grad 4.06 | tok/s 6966 | elapsed_h 0.039 | time 2026-06-11T19:21:49+00:00
step    200 | loss 6.8334 | lr 1.11e-03 | grad 2.16 | tok/s 6966 | elapsed_h 0.041 | time 2026-06-11T19:21:55+00:00
step    210 | loss 7.0331 | lr 1.11e-03 | grad 3.03 | tok/s 6951 | elapsed_h 0.042 | time 2026-06-11T19:22:01+00:00
step    220 | loss 6.6698 | lr 1.11e-03 | grad 1.62 | tok/s 6939 | elapsed_h 0.044 | time 2026-06-11T19:22:07+00:00
step    230 | loss 6.6827 | lr 1.11e-03 | grad 1.92 | tok/s 6953 | elapsed_h 0.045 | time 2026-06-11T19:22:13+00:00
step    240 | loss 6.7784 | lr 1.11e-03 | grad 1.55 | tok/s 6928 | elapsed_h 0.047 | time 2026-06-11T19:22:18+00:00
step    250 | loss 6.8566 | lr 1.11e-03 | grad 2.69 | tok/s 6937 | elapsed_h 0.049 | time 2026-06-11T19:22:24+00:00
step    260 | loss 6.9855 | lr 1.11e-03 | grad 1.62 | tok/s 6932 | elapsed_h 0.050 | time 2026-06-11T19:22:30+00:00
step    270 | loss 6.6317 | lr 1.11e-03 | grad 2.56 | tok/s 6923 | elapsed_h 0.052 | time 2026-06-11T19:22:36+00:00
step    280 | loss 6.7524 | lr 1.11e-03 | grad 1.64 | tok/s 6919 | elapsed_h 0.054 | time 2026-06-11T19:22:42+00:00
step    290 | loss 6.5201 | lr 1.11e-03 | grad 1.62 | tok/s 6918 | elapsed_h 0.055 | time 2026-06-11T19:22:48+00:00
step    300 | loss 6.5424 | lr 1.11e-03 | grad 2.17 | tok/s 6918 | elapsed_h 0.057 | time 2026-06-11T19:22:54+00:00
step    310 | loss 6.4709 | lr 1.11e-03 | grad 1.62 | tok/s 6910 | elapsed_h 0.059 | time 2026-06-11T19:23:00+00:00
step    320 | loss 6.6726 | lr 1.11e-03 | grad 2.09 | tok/s 6918 | elapsed_h 0.060 | time 2026-06-11T19:23:06+00:00
step    330 | loss 6.4750 | lr 1.11e-03 | grad 1.69 | tok/s 6918 | elapsed_h 0.062 | time 2026-06-11T19:23:12+00:00
step    340 | loss 6.3114 | lr 1.11e-03 | grad 2.12 | tok/s 6918 | elapsed_h 0.064 | time 2026-06-11T19:23:18+00:00
step    350 | loss 6.5400 | lr 1.11e-03 | grad 1.40 | tok/s 6920 | elapsed_h 0.065 | time 2026-06-11T19:23:24+00:00
step    360 | loss 6.7034 | lr 1.11e-03 | grad 8.25 | tok/s 6892 | elapsed_h 0.067 | time 2026-06-11T19:23:31+00:00
step    370 | loss 6.4755 | lr 1.11e-03 | grad 1.46 | tok/s 6892 | elapsed_h 0.069 | time 2026-06-11T19:23:37+00:00
step    380 | loss 6.3045 | lr 1.11e-03 | grad 4.66 | tok/s 6876 | elapsed_h 0.071 | time 2026-06-11T19:23:43+00:00
step    390 | loss 6.2876 | lr 1.11e-03 | grad 1.44 | tok/s 6892 | elapsed_h 0.072 | time 2026-06-11T19:23:49+00:00
step    400 | loss 6.2938 | lr 1.11e-03 | grad 2.16 | tok/s 6895 | elapsed_h 0.074 | time 2026-06-11T19:23:55+00:00
step    410 | loss 6.7088 | lr 1.11e-03 | grad 2.05 | tok/s 6907 | elapsed_h 0.076 | time 2026-06-11T19:24:01+00:00
step    420 | loss 6.4470 | lr 1.11e-03 | grad 1.77 | tok/s 6905 | elapsed_h 0.077 | time 2026-06-11T19:24:07+00:00
step    430 | loss 5.7365 | lr 1.11e-03 | grad 1.33 | tok/s 6889 | elapsed_h 0.079 | time 2026-06-11T19:24:13+00:00
step    440 | loss 6.4002 | lr 1.11e-03 | grad 1.38 | tok/s 6893 | elapsed_h 0.081 | time 2026-06-11T19:24:19+00:00
step    450 | loss 6.2864 | lr 1.11e-03 | grad 3.31 | tok/s 6899 | elapsed_h 0.082 | time 2026-06-11T19:24:25+00:00
step    460 | loss 6.2144 | lr 1.11e-03 | grad 2.33 | tok/s 6893 | elapsed_h 0.084 | time 2026-06-11T19:24:31+00:00
step    470 | loss 6.1531 | lr 1.11e-03 | grad 1.20 | tok/s 6891 | elapsed_h 0.086 | time 2026-06-11T19:24:37+00:00
step    480 | loss 6.2893 | lr 1.11e-03 | grad 1.88 | tok/s 6898 | elapsed_h 0.087 | time 2026-06-11T19:24:43+00:00
step    490 | loss 6.1586 | lr 1.11e-03 | grad 1.27 | tok/s 6899 | elapsed_h 0.089 | time 2026-06-11T19:24:49+00:00
step    500 | loss 6.0656 | lr 1.11e-03 | grad 1.25 | tok/s 6897 | elapsed_h 0.091 | time 2026-06-11T19:24:55+00:00
step    510 | loss 6.1179 | lr 1.11e-03 | grad 2.50 | tok/s 6891 | elapsed_h 0.092 | time 2026-06-11T19:25:01+00:00
step    520 | loss 6.3391 | lr 1.11e-03 | grad 1.43 | tok/s 6920 | elapsed_h 0.094 | time 2026-06-11T19:25:07+00:00
step    530 | loss 6.1557 | lr 1.11e-03 | grad 1.98 | tok/s 6913 | elapsed_h 0.096 | time 2026-06-11T19:25:13+00:00
step    540 | loss 5.8462 | lr 1.11e-03 | grad 1.46 | tok/s 6906 | elapsed_h 0.097 | time 2026-06-11T19:25:19+00:00
step    550 | loss 5.9061 | lr 1.11e-03 | grad 3.23 | tok/s 6912 | elapsed_h 0.099 | time 2026-06-11T19:25:25+00:00
step    560 | loss 6.1006 | lr 1.11e-03 | grad 1.37 | tok/s 6900 | elapsed_h 0.101 | time 2026-06-11T19:25:31+00:00
step    570 | loss 5.9466 | lr 1.11e-03 | grad 1.33 | tok/s 6916 | elapsed_h 0.102 | time 2026-06-11T19:25:37+00:00
step    580 | loss 5.6835 | lr 1.11e-03 | grad 1.37 | tok/s 6917 | elapsed_h 0.104 | time 2026-06-11T19:25:43+00:00
