name,gen,a_delta,a_track,f_delta,f_track,dim,model_params,heldout_bpb,tok_s,avg_loss,fused_asserted
cma_g0_e0,0,-1.5065716939775347,-3.7765355156438436,0.1875,0.0,448,42544768,2.37708,55716.5,6.47534,True
cma_g0_e1,0,-1.204622923798615,-0.45386413473922715,0.15625,0.3125,384,38164320,2.45895,39523.9,6.67338,True
cma_g0_e2,0,-2.968306749446672,-3.968285620892545,0.03125,0.03125,448,41650544,2.40702,41308.7,6.53059,True
cma_g0_e3,0,0.6584256310147829,-1.965092169478074,0.625,0.0625,384,39520224,2.45754,41287.3,6.59714,True
cma_g0_e4,0,-3.4389487718699043,-2.414852784486788,0.03125,0.09375,448,42089296,2.4117,39631.9,6.57419,True
cma_g0_e5,0,-3.4268353856249245,-4.431482793919276,0.03125,0.0,448,41431168,2.43228,56423.5,6.64435,True
cma_g0_e6,0,-2.0160754568679318,-7.326656154523639,0.125,0.0,448,42099328,2.3855,54995.8,6.49458,True
cma_g0_e7,0,-5.9498356650260655,-4.62460317320984,0.0,0.0,448,41208448,2.44211,73334.9,6.92238,True
cma_g1_e0,1,-1.0900555271398882,-3.4596353947001637,0.25,0.03125,384,37047024,2.43415,42560.3,6.52336,True
cma_g1_e1,1,0.6785765025293711,-6.510952722930611,0.65625,0.0,384,39335424,2.44725,54848.5,6.66069,True
cma_g1_e2,1,-3.423714100512126,-6.251789502856699,0.03125,0.0,448,41431168,2.43696,57558.0,6.63852,True
cma_g1_e3,1,-0.4593025254514498,-7.265438950990715,0.375,0.0,384,37621248,2.45053,55246.5,6.65087,True
cma_g1_e4,1,-1.4201516929985305,-4.16170173403266,0.1875,0.0,448,42544768,2.37942,55781.5,6.47758,True
cma_g1_e5,1,-0.994323389657246,-3.2500175631215127,0.25,0.03125,384,37047024,2.43415,40693.6,6.52336,True
cma_g1_e6,1,-0.9124707757290902,-4.8126042317736335,0.28125,0.0,384,37049856,2.42292,54548.4,6.58451,True
cma_g1_e7,1,-3.2610578761946893,-1.1205760909932558,0.03125,0.25,384,37027200,2.46175,42506.6,6.77867,True
