[fla-gdn-controls-shape s0] step 25 | loss 8.9464 | 23s/3600s | tok 102450 | 5114 tok/s
[fla-gdn-controls-shape s0] step 50 | loss 8.4264 | 38s/3600s | tok 204900 | 8264 tok/s
[fla-gdn-controls-shape s0] step 75 | loss 7.6351 | 52s/3600s | tok 307350 | 7885 tok/s
[fla-gdn-controls-shape s0] step 100 | loss 7.7198 | 72s/3600s | tok 409800 | 3497 tok/s
[fla-gdn-controls-shape s0] step 125 | loss 7.8796 | 102s/3600s | tok 512250 | 3354 tok/s
[fla-gdn-controls-shape s0] step 150 | loss 7.7407 | 121s/3600s | tok 614700 | 8166 tok/s
[fla-gdn-controls-shape s0] step 175 | loss 7.4458 | 135s/3600s | tok 717150 | 7672 tok/s
[fla-gdn-controls-shape s0] step 200 | loss 6.4638 | 148s/3600s | tok 819600 | 7630 tok/s
[fla-gdn-controls-shape s0] step 225 | loss 7.1473 | 162s/3600s | tok 922050 | 7663 tok/s
[fla-gdn-controls-shape s0] step 250 | loss 6.4341 | 175s/3600s | tok 1024500 | 7607 tok/s
[fla-gdn-controls-shape s0] step 275 | loss 6.4954 | 189s/3600s | tok 1126950 | 7583 tok/s
[fla-gdn-controls-shape s0] step 300 | loss 6.2608 | 202s/3600s | tok 1229400 | 7614 tok/s
[fla-gdn-controls-shape s0] step 325 | loss 6.6768 | 216s/3600s | tok 1331850 | 7619 tok/s
[fla-gdn-controls-shape s0] step 350 | loss 6.0257 | 230s/3600s | tok 1434300 | 7606 tok/s
[fla-gdn-controls-shape s0] step 375 | loss 6.6318 | 243s/3600s | tok 1536750 | 7610 tok/s
[fla-gdn-controls-shape s0] step 400 | loss 5.6266 | 257s/3600s | tok 1639200 | 7545 tok/s
[fla-gdn-controls-shape s0] step 425 | loss 6.7200 | 271s/3600s | tok 1741650 | 7557 tok/s
[fla-gdn-controls-shape s0] step 450 | loss 6.3115 | 284s/3600s | tok 1844100 | 7533 tok/s
[fla-gdn-controls-shape s0] step 475 | loss 5.4382 | 298s/3600s | tok 1946550 | 7559 tok/s
[fla-gdn-controls-shape s0] step 500 | loss 6.5367 | 311s/3600s | tok 2049000 | 7539 tok/s
[fla-gdn-controls-shape s0] step 525 | loss 6.6501 | 325s/3600s | tok 2151450 | 7556 tok/s
[fla-gdn-controls-shape s0] step 550 | loss 5.5070 | 339s/3600s | tok 2253900 | 7535 tok/s
[fla-gdn-controls-shape s0] step 575 | loss 5.0668 | 352s/3600s | tok 2356350 | 7511 tok/s
[fla-gdn-controls-shape s0] step 600 | loss 5.6133 | 366s/3600s | tok 2458800 | 7521 tok/s
[fla-gdn-controls-shape s0] step 625 | loss 6.6143 | 380s/3600s | tok 2561250 | 7483 tok/s
[fla-gdn-controls-shape s0] step 650 | loss 6.0520 | 394s/3600s | tok 2663700 | 7565 tok/s
[fla-gdn-controls-shape s0] step 675 | loss 6.0735 | 407s/3600s | tok 2766150 | 7473 tok/s
[fla-gdn-controls-shape s0] step 700 | loss 6.3988 | 421s/3600s | tok 2868600 | 7533 tok/s
[fla-gdn-controls-shape s0] step 725 | loss 5.9955 | 435s/3600s | tok 2971050 | 7537 tok/s
[fla-gdn-controls-shape s0] step 750 | loss 6.3940 | 449s/3600s | tok 3073500 | 7480 tok/s
[fla-gdn-controls-shape s0] step 775 | loss 6.2316 | 462s/3600s | tok 3175950 | 7511 tok/s
[fla-gdn-controls-shape s0] step 800 | loss 6.2045 | 476s/3600s | tok 3278400 | 7476 tok/s
[fla-gdn-controls-shape s0] step 825 | loss 5.7977 | 490s/3600s | tok 3380850 | 7501 tok/s
[fla-gdn-controls-shape s0] step 850 | loss 5.9107 | 503s/3600s | tok 3483300 | 7501 tok/s
[fla-gdn-controls-shape s0] step 875 | loss 6.2851 | 517s/3600s | tok 3585750 | 7497 tok/s
[fla-gdn-controls-shape s0] step 900 | loss 5.7129 | 531s/3600s | tok 3688200 | 7524 tok/s
[fla-gdn-controls-shape s0] step 925 | loss 5.8076 | 545s/3600s | tok 3790650 | 7516 tok/s
[fla-gdn-controls-shape s0] step 950 | loss 5.4700 | 558s/3600s | tok 3893100 | 7534 tok/s
[fla-gdn-controls-shape s0] step 975 | loss 6.0285 | 572s/3600s | tok 3995550 | 7522 tok/s
[fla-gdn-controls-shape s0] step 1000 | loss 4.8769 | 586s/3600s | tok 4098000 | 7569 tok/s
[fla-gdn-controls-shape s0] step 1025 | loss 5.5684 | 600s/3600s | tok 4200450 | 7561 tok/s
[fla-gdn-controls-shape s0] step 1050 | loss 4.9461 | 613s/3600s | tok 4302900 | 7549 tok/s
[fla-gdn-controls-shape s0] step 1075 | loss 6.1738 | 627s/3600s | tok 4405350 | 7550 tok/s
[fla-gdn-controls-shape s0] step 1100 | loss 5.1283 | 641s/3600s | tok 4507800 | 7513 tok/s
[fla-gdn-controls-shape s0] step 1125 | loss 6.6254 | 654s/3600s | tok 4610250 | 7515 tok/s
[fla-gdn-controls-shape s0] step 1150 | loss 6.0701 | 668s/3600s | tok 4712700 | 7519 tok/s
[fla-gdn-controls-shape s0] step 1175 | loss 6.1181 | 682s/3600s | tok 4815150 | 7505 tok/s
[fla-gdn-controls-shape s0] step 1200 | loss 6.0194 | 695s/3600s | tok 4917600 | 7485 tok/s
[fla-gdn-controls-shape s0] step 1225 | loss 6.1120 | 709s/3600s | tok 5020050 | 7482 tok/s
[fla-gdn-controls-shape s0] step 1250 | loss 6.0984 | 723s/3600s | tok 5122500 | 7497 tok/s
[fla-gdn-controls-shape s0] step 1275 | loss 5.9885 | 737s/3600s | tok 5224950 | 7488 tok/s
[fla-gdn-controls-shape s0] step 1300 | loss 5.4903 | 750s/3600s | tok 5327400 | 7489 tok/s
[fla-gdn-controls-shape s0] step 1325 | loss 4.2936 | 764s/3600s | tok 5429850 | 7529 tok/s
[fla-gdn-controls-shape s0] step 1350 | loss 5.4835 | 778s/3600s | tok 5532300 | 7539 tok/s
[fla-gdn-controls-shape s0] step 1375 | loss 6.0779 | 791s/3600s | tok 5634750 | 7502 tok/s
[fla-gdn-controls-shape s0] step 1400 | loss 6.0228 | 805s/3600s | tok 5737200 | 7491 tok/s
[fla-gdn-controls-shape s0] step 1425 | loss 5.1846 | 819s/3600s | tok 5839650 | 7501 tok/s
[fla-gdn-controls-shape s0] step 1450 | loss 6.0406 | 833s/3600s | tok 5942100 | 7495 tok/s
[fla-gdn-controls-shape s0] step 1475 | loss 5.7970 | 846s/3600s | tok 6044550 | 7525 tok/s
[fla-gdn-controls-shape s0] step 1500 | loss 5.1320 | 860s/3600s | tok 6147000 | 7506 tok/s
[fla-gdn-controls-shape s0] step 1525 | loss 4.9494 | 874s/3600s | tok 6249450 | 7496 tok/s
[fla-gdn-controls-shape s0] step 1550 | loss 5.7328 | 887s/3600s | tok 6351900 | 7509 tok/s
[fla-gdn-controls-shape s0] step 1575 | loss 5.5584 | 901s/3600s | tok 6454350 | 7467 tok/s
[fla-gdn-controls-shape s0] step 1600 | loss 5.8893 | 915s/3600s | tok 6556800 | 5761 tok/s
[fla-gdn-controls-shape s0] step 1625 | loss 5.8063 | 929s/3600s | tok 6659250 | 7535 tok/s
[fla-gdn-controls-shape s0] step 1650 | loss 4.2873 | 943s/3600s | tok 6761700 | 7523 tok/s
[fla-gdn-controls-shape s0] step 1675 | loss 5.7784 | 956s/3600s | tok 6864150 | 7552 tok/s
[fla-gdn-controls-shape s0] step 1700 | loss 5.5018 | 970s/3600s | tok 6966600 | 7449 tok/s
[fla-gdn-controls-shape s0] step 1725 | loss 4.3080 | 984s/3600s | tok 7069050 | 7700 tok/s
[fla-gdn-controls-shape s0] step 1750 | loss 4.7181 | 997s/3600s | tok 7171500 | 7549 tok/s
[fla-gdn-controls-shape s0] step 1775 | loss 6.3157 | 1011s/3600s | tok 7273950 | 7509 tok/s
[fla-gdn-controls-shape s0] step 1800 | loss 4.5389 | 1025s/3600s | tok 7376400 | 7579 tok/s
[fla-gdn-controls-shape s0] step 1825 | loss 4.2952 | 1038s/3600s | tok 7478850 | 7830 tok/s
[fla-gdn-controls-shape s0] step 1850 | loss 5.4318 | 1052s/3600s | tok 7581300 | 7519 tok/s
[fla-gdn-controls-shape s0] step 1875 | loss 5.7348 | 1066s/3600s | tok 7683750 | 7548 tok/s
[fla-gdn-controls-shape s0] step 1900 | loss 5.5499 | 1079s/3600s | tok 7786200 | 7523 tok/s
[fla-gdn-controls-shape s0] step 1925 | loss 4.1905 | 1093s/3600s | tok 7888650 | 7538 tok/s
