[fla-gdn-handoff-shape s0] step 25 | loss 8.9599 | 19s/3600s | tok 102450 | 8182 tok/s
[fla-gdn-handoff-shape s0] step 50 | loss 8.2393 | 34s/3600s | tok 204900 | 7443 tok/s
[fla-gdn-handoff-shape s0] step 75 | loss 7.4407 | 47s/3600s | tok 307350 | 9027 tok/s
[fla-gdn-handoff-shape s0] step 100 | loss 7.6741 | 60s/3600s | tok 409800 | 6220 tok/s
[fla-gdn-handoff-shape s0] step 125 | loss 7.6311 | 75s/3600s | tok 512250 | 4065 tok/s
[fla-gdn-handoff-shape s0] step 150 | loss 7.5134 | 101s/3600s | tok 614700 | 3888 tok/s
[fla-gdn-handoff-shape s0] step 175 | loss 7.4036 | 119s/3600s | tok 717150 | 8841 tok/s
[fla-gdn-handoff-shape s0] step 200 | loss 6.2741 | 131s/3600s | tok 819600 | 8784 tok/s
[fla-gdn-handoff-shape s0] step 225 | loss 7.0951 | 143s/3600s | tok 922050 | 8793 tok/s
[fla-gdn-handoff-shape s0] step 250 | loss 6.3381 | 154s/3600s | tok 1024500 | 8755 tok/s
[fla-gdn-handoff-shape s0] step 275 | loss 6.3600 | 166s/3600s | tok 1126950 | 8760 tok/s
[fla-gdn-handoff-shape s0] step 300 | loss 6.0875 | 178s/3600s | tok 1229400 | 8758 tok/s
[fla-gdn-handoff-shape s0] step 325 | loss 6.6225 | 190s/3600s | tok 1331850 | 8784 tok/s
[fla-gdn-handoff-shape s0] step 350 | loss 5.8375 | 201s/3600s | tok 1434300 | 8749 tok/s
[fla-gdn-handoff-shape s0] step 375 | loss 6.6034 | 213s/3600s | tok 1536750 | 8791 tok/s
[fla-gdn-handoff-shape s0] step 400 | loss 5.5813 | 225s/3600s | tok 1639200 | 8761 tok/s
[fla-gdn-handoff-shape s0] step 425 | loss 6.6299 | 237s/3600s | tok 1741650 | 8792 tok/s
[fla-gdn-handoff-shape s0] step 450 | loss 6.2515 | 248s/3600s | tok 1844100 | 8737 tok/s
[fla-gdn-handoff-shape s0] step 475 | loss 5.3976 | 260s/3600s | tok 1946550 | 8784 tok/s
[fla-gdn-handoff-shape s0] step 500 | loss 6.4698 | 272s/3600s | tok 2049000 | 8775 tok/s
[fla-gdn-handoff-shape s0] step 525 | loss 6.6400 | 284s/3600s | tok 2151450 | 8793 tok/s
[fla-gdn-handoff-shape s0] step 550 | loss 5.4204 | 295s/3600s | tok 2253900 | 8854 tok/s
[fla-gdn-handoff-shape s0] step 575 | loss 4.9756 | 307s/3600s | tok 2356350 | 8790 tok/s
[fla-gdn-handoff-shape s0] step 600 | loss 5.5061 | 319s/3600s | tok 2458800 | 8809 tok/s
[fla-gdn-handoff-shape s0] step 625 | loss 6.5714 | 331s/3600s | tok 2561250 | 8724 tok/s
[fla-gdn-handoff-shape s0] step 650 | loss 5.9780 | 342s/3600s | tok 2663700 | 8713 tok/s
[fla-gdn-handoff-shape s0] step 675 | loss 6.0316 | 354s/3600s | tok 2766150 | 8816 tok/s
[fla-gdn-handoff-shape s0] step 700 | loss 5.7558 | 366s/3600s | tok 2868600 | 8766 tok/s
[fla-gdn-handoff-shape s0] step 725 | loss 5.9405 | 378s/3600s | tok 2971050 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 750 | loss 6.3786 | 389s/3600s | tok 3073500 | 8732 tok/s
[fla-gdn-handoff-shape s0] step 775 | loss 6.2184 | 401s/3600s | tok 3175950 | 8822 tok/s
[fla-gdn-handoff-shape s0] step 800 | loss 6.1174 | 413s/3600s | tok 3278400 | 8795 tok/s
[fla-gdn-handoff-shape s0] step 825 | loss 5.7262 | 425s/3600s | tok 3380850 | 8753 tok/s
[fla-gdn-handoff-shape s0] step 850 | loss 5.8739 | 436s/3600s | tok 3483300 | 8775 tok/s
[fla-gdn-handoff-shape s0] step 875 | loss 6.2017 | 448s/3600s | tok 3585750 | 8816 tok/s
[fla-gdn-handoff-shape s0] step 900 | loss 5.6853 | 460s/3600s | tok 3688200 | 8723 tok/s
[fla-gdn-handoff-shape s0] step 925 | loss 5.7672 | 472s/3600s | tok 3790650 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 950 | loss 5.4402 | 483s/3600s | tok 3893100 | 8777 tok/s
[fla-gdn-handoff-shape s0] step 975 | loss 5.9814 | 495s/3600s | tok 3995550 | 8789 tok/s
[fla-gdn-handoff-shape s0] step 1000 | loss 4.7557 | 507s/3600s | tok 4098000 | 8812 tok/s
[fla-gdn-handoff-shape s0] step 1025 | loss 5.5275 | 519s/3600s | tok 4200450 | 8778 tok/s
[fla-gdn-handoff-shape s0] step 1050 | loss 4.8937 | 530s/3600s | tok 4302900 | 8809 tok/s
[fla-gdn-handoff-shape s0] step 1075 | loss 6.1621 | 542s/3600s | tok 4405350 | 8738 tok/s
[fla-gdn-handoff-shape s0] step 1100 | loss 4.9247 | 554s/3600s | tok 4507800 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 1125 | loss 6.6073 | 565s/3600s | tok 4610250 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 1150 | loss 6.0199 | 577s/3600s | tok 4712700 | 8832 tok/s
[fla-gdn-handoff-shape s0] step 1175 | loss 6.0823 | 589s/3600s | tok 4815150 | 8826 tok/s
[fla-gdn-handoff-shape s0] step 1200 | loss 5.9278 | 601s/3600s | tok 4917600 | 8811 tok/s
[fla-gdn-handoff-shape s0] step 1225 | loss 6.0738 | 612s/3600s | tok 5020050 | 8769 tok/s
[fla-gdn-handoff-shape s0] step 1250 | loss 6.0487 | 624s/3600s | tok 5122500 | 8774 tok/s
[fla-gdn-handoff-shape s0] step 1275 | loss 5.9614 | 636s/3600s | tok 5224950 | 8784 tok/s
[fla-gdn-handoff-shape s0] step 1300 | loss 5.4663 | 647s/3600s | tok 5327400 | 8783 tok/s
[fla-gdn-handoff-shape s0] step 1325 | loss 4.1974 | 659s/3600s | tok 5429850 | 8772 tok/s
[fla-gdn-handoff-shape s0] step 1350 | loss 5.4592 | 671s/3600s | tok 5532300 | 8851 tok/s
[fla-gdn-handoff-shape s0] step 1375 | loss 6.0458 | 683s/3600s | tok 5634750 | 8784 tok/s
[fla-gdn-handoff-shape s0] step 1400 | loss 6.0220 | 694s/3600s | tok 5737200 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 1425 | loss 5.1472 | 706s/3600s | tok 5839650 | 8791 tok/s
[fla-gdn-handoff-shape s0] step 1450 | loss 5.9585 | 718s/3600s | tok 5942100 | 8813 tok/s
[fla-gdn-handoff-shape s0] step 1475 | loss 5.7520 | 729s/3600s | tok 6044550 | 8763 tok/s
[fla-gdn-handoff-shape s0] step 1500 | loss 5.1036 | 741s/3600s | tok 6147000 | 8807 tok/s
[fla-gdn-handoff-shape s0] step 1525 | loss 4.9398 | 753s/3600s | tok 6249450 | 8812 tok/s
[fla-gdn-handoff-shape s0] step 1550 | loss 5.7020 | 765s/3600s | tok 6351900 | 8837 tok/s
[fla-gdn-handoff-shape s0] step 1575 | loss 5.5244 | 776s/3600s | tok 6454350 | 8775 tok/s
[fla-gdn-handoff-shape s0] step 1600 | loss 5.8856 | 788s/3600s | tok 6556800 | 8769 tok/s
[fla-gdn-handoff-shape s0] step 1625 | loss 5.7844 | 800s/3600s | tok 6659250 | 8819 tok/s
[fla-gdn-handoff-shape s0] step 1650 | loss 4.4420 | 812s/3600s | tok 6761700 | 8809 tok/s
[fla-gdn-handoff-shape s0] step 1675 | loss 5.7486 | 823s/3600s | tok 6864150 | 8846 tok/s
[fla-gdn-handoff-shape s0] step 1700 | loss 5.4022 | 835s/3600s | tok 6966600 | 8798 tok/s
[fla-gdn-handoff-shape s0] step 1725 | loss 4.2652 | 847s/3600s | tok 7069050 | 8765 tok/s
[fla-gdn-handoff-shape s0] step 1750 | loss 4.6768 | 859s/3600s | tok 7171500 | 8803 tok/s
[fla-gdn-handoff-shape s0] step 1775 | loss 6.2698 | 870s/3600s | tok 7273950 | 8793 tok/s
[fla-gdn-handoff-shape s0] step 1800 | loss 4.5309 | 882s/3600s | tok 7376400 | 8832 tok/s
[fla-gdn-handoff-shape s0] step 1825 | loss 4.2854 | 894s/3600s | tok 7478850 | 8815 tok/s
[fla-gdn-handoff-shape s0] step 1850 | loss 5.4458 | 906s/3600s | tok 7581300 | 8748 tok/s
[fla-gdn-handoff-shape s0] step 1875 | loss 5.7006 | 917s/3600s | tok 7683750 | 8786 tok/s
[fla-gdn-handoff-shape s0] step 1900 | loss 5.5410 | 929s/3600s | tok 7786200 | 8750 tok/s
[fla-gdn-handoff-shape s0] step 1925 | loss 4.2232 | 941s/3600s | tok 7888650 | 8795 tok/s
[fla-gdn-handoff-shape s0] step 1950 | loss 5.0555 | 953s/3600s | tok 7991100 | 8739 tok/s
[fla-gdn-handoff-shape s0] step 1975 | loss 4.6276 | 964s/3600s | tok 8093550 | 8794 tok/s
[fla-gdn-handoff-shape s0] step 2000 | loss 4.6063 | 976s/3600s | tok 8196000 | 8747 tok/s
[fla-gdn-handoff-shape s0] step 2025 | loss 5.0820 | 988s/3600s | tok 8298450 | 8816 tok/s
[fla-gdn-handoff-shape s0] step 2050 | loss 6.0022 | 1000s/3600s | tok 8400900 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 2075 | loss 5.2962 | 1011s/3600s | tok 8503350 | 8808 tok/s
[fla-gdn-handoff-shape s0] step 2100 | loss 4.7866 | 1023s/3600s | tok 8605800 | 8814 tok/s
[fla-gdn-handoff-shape s0] step 2125 | loss 5.4019 | 1035s/3600s | tok 8708250 | 8778 tok/s
[fla-gdn-handoff-shape s0] step 2150 | loss 5.6931 | 1047s/3600s | tok 8810700 | 8769 tok/s
[fla-gdn-handoff-shape s0] step 2175 | loss 5.3984 | 1058s/3600s | tok 8913150 | 8809 tok/s
[fla-gdn-handoff-shape s0] step 2200 | loss 5.8443 | 1070s/3600s | tok 9015600 | 8745 tok/s
[fla-gdn-handoff-shape s0] step 2225 | loss 5.3991 | 1082s/3600s | tok 9118050 | 8778 tok/s
[fla-gdn-handoff-shape s0] step 2250 | loss 5.7338 | 1094s/3600s | tok 9220500 | 8762 tok/s
[fla-gdn-handoff-shape s0] step 2275 | loss 5.0514 | 1105s/3600s | tok 9322950 | 8823 tok/s
[fla-gdn-handoff-shape s0] step 2300 | loss 5.6506 | 1117s/3600s | tok 9425400 | 8824 tok/s
[fla-gdn-handoff-shape s0] step 2325 | loss 5.4115 | 1129s/3600s | tok 9527850 | 8778 tok/s
[fla-gdn-handoff-shape s0] step 2350 | loss 5.8291 | 1141s/3600s | tok 9630300 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 2375 | loss 5.5778 | 1152s/3600s | tok 9732750 | 8861 tok/s
[fla-gdn-handoff-shape s0] step 2400 | loss 5.3982 | 1164s/3600s | tok 9835200 | 8775 tok/s
[fla-gdn-handoff-shape s0] step 2425 | loss 4.9766 | 1176s/3600s | tok 9937650 | 8756 tok/s
[fla-gdn-handoff-shape s0] step 2450 | loss 5.1211 | 1187s/3600s | tok 10040100 | 8774 tok/s
[fla-gdn-handoff-shape s0] step 2475 | loss 5.4236 | 1199s/3600s | tok 10142550 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 2500 | loss 5.1694 | 1211s/3600s | tok 10245000 | 8807 tok/s
[fla-gdn-handoff-shape s0] step 2525 | loss 5.3768 | 1223s/3600s | tok 10347450 | 8798 tok/s
[fla-gdn-handoff-shape s0] step 2550 | loss 3.6273 | 1234s/3600s | tok 10449900 | 8851 tok/s
[fla-gdn-handoff-shape s0] step 2575 | loss 5.4743 | 1246s/3600s | tok 10552350 | 8770 tok/s
[fla-gdn-handoff-shape s0] step 2600 | loss 4.8858 | 1258s/3600s | tok 10654800 | 8860 tok/s
[fla-gdn-handoff-shape s0] step 2625 | loss 5.4133 | 1270s/3600s | tok 10757250 | 8801 tok/s
[fla-gdn-handoff-shape s0] step 2650 | loss 5.6640 | 1281s/3600s | tok 10859700 | 8859 tok/s
[fla-gdn-handoff-shape s0] step 2675 | loss 5.3500 | 1293s/3600s | tok 10962150 | 8741 tok/s
[fla-gdn-handoff-shape s0] step 2700 | loss 5.4468 | 1305s/3600s | tok 11064600 | 8837 tok/s
[fla-gdn-handoff-shape s0] step 2725 | loss 4.9993 | 1317s/3600s | tok 11167050 | 8732 tok/s
[fla-gdn-handoff-shape s0] step 2750 | loss 3.7980 | 1328s/3600s | tok 11269500 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 2775 | loss 5.5296 | 1340s/3600s | tok 11371950 | 8751 tok/s
[fla-gdn-handoff-shape s0] step 2800 | loss 5.4131 | 1352s/3600s | tok 11474400 | 8771 tok/s
[fla-gdn-handoff-shape s0] step 2825 | loss 4.4089 | 1364s/3600s | tok 11576850 | 8732 tok/s
[fla-gdn-handoff-shape s0] step 2850 | loss 5.7684 | 1375s/3600s | tok 11679300 | 8786 tok/s
[fla-gdn-handoff-shape s0] step 2875 | loss 4.8265 | 1387s/3600s | tok 11781750 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 2900 | loss 4.6404 | 1399s/3600s | tok 11884200 | 8726 tok/s
[fla-gdn-handoff-shape s0] step 2925 | loss 5.0202 | 1411s/3600s | tok 11986650 | 8754 tok/s
[fla-gdn-handoff-shape s0] step 2950 | loss 5.5867 | 1422s/3600s | tok 12089100 | 8815 tok/s
[fla-gdn-handoff-shape s0] step 2975 | loss 5.1824 | 1434s/3600s | tok 12191550 | 8754 tok/s
[fla-gdn-handoff-shape s0] step 3000 | loss 4.6847 | 1446s/3600s | tok 12294000 | 8790 tok/s
[fla-gdn-handoff-shape s0] step 3025 | loss 5.3553 | 1458s/3600s | tok 12396450 | 8820 tok/s
[fla-gdn-handoff-shape s0] step 3050 | loss 6.5723 | 1469s/3600s | tok 12498900 | 8816 tok/s
[fla-gdn-handoff-shape s0] step 3075 | loss 5.1868 | 1481s/3600s | tok 12601350 | 8755 tok/s
[fla-gdn-handoff-shape s0] step 3100 | loss 5.5546 | 1493s/3600s | tok 12703800 | 8794 tok/s
[fla-gdn-handoff-shape s0] step 3125 | loss 4.4876 | 1505s/3600s | tok 12806250 | 8737 tok/s
[fla-gdn-handoff-shape s0] step 3150 | loss 4.8482 | 1516s/3600s | tok 12908700 | 8800 tok/s
[fla-gdn-handoff-shape s0] step 3175 | loss 5.2197 | 1528s/3600s | tok 13011150 | 8768 tok/s
[fla-gdn-handoff-shape s0] step 3200 | loss 5.1554 | 1540s/3600s | tok 13113600 | 8828 tok/s
[fla-gdn-handoff-shape s0] step 3225 | loss 4.9507 | 1552s/3600s | tok 13216050 | 8771 tok/s
[fla-gdn-handoff-shape s0] step 3250 | loss 5.3861 | 1563s/3600s | tok 13318500 | 8831 tok/s
[fla-gdn-handoff-shape s0] step 3275 | loss 3.8058 | 1575s/3600s | tok 13420950 | 8715 tok/s
[fla-gdn-handoff-shape s0] step 3300 | loss 5.0345 | 1587s/3600s | tok 13523400 | 8781 tok/s
[fla-gdn-handoff-shape s0] step 3325 | loss 4.5891 | 1599s/3600s | tok 13625850 | 8774 tok/s
[fla-gdn-handoff-shape s0] step 3350 | loss 5.3277 | 1610s/3600s | tok 13728300 | 8807 tok/s
[fla-gdn-handoff-shape s0] step 3375 | loss 5.1598 | 1622s/3600s | tok 13830750 | 8850 tok/s
[fla-gdn-handoff-shape s0] step 3400 | loss 4.9751 | 1634s/3600s | tok 13933200 | 8746 tok/s
[fla-gdn-handoff-shape s0] step 3425 | loss 5.2299 | 1646s/3600s | tok 14035650 | 8825 tok/s
[fla-gdn-handoff-shape s0] step 3450 | loss 4.9556 | 1657s/3600s | tok 14138100 | 8744 tok/s
[fla-gdn-handoff-shape s0] step 3475 | loss 4.3069 | 1669s/3600s | tok 14240550 | 8803 tok/s
[fla-gdn-handoff-shape s0] step 3500 | loss 4.5679 | 1681s/3600s | tok 14343000 | 8805 tok/s
[fla-gdn-handoff-shape s0] step 3525 | loss 4.0983 | 1693s/3600s | tok 14445450 | 8798 tok/s
[fla-gdn-handoff-shape s0] step 3550 | loss 5.0769 | 1704s/3600s | tok 14547900 | 8802 tok/s
[fla-gdn-handoff-shape s0] step 3575 | loss 5.5089 | 1716s/3600s | tok 14650350 | 8778 tok/s
[fla-gdn-handoff-shape s0] step 3600 | loss 5.7433 | 1728s/3600s | tok 14752800 | 8809 tok/s
[fla-gdn-handoff-shape s0] step 3625 | loss 4.0339 | 1740s/3600s | tok 14855250 | 8753 tok/s
[fla-gdn-handoff-shape s0] step 3650 | loss 4.5487 | 1751s/3600s | tok 14957700 | 8747 tok/s
[fla-gdn-handoff-shape s0] step 3675 | loss 3.6495 | 1763s/3600s | tok 15060150 | 8795 tok/s
[fla-gdn-handoff-shape s0] step 3700 | loss 5.0585 | 1775s/3600s | tok 15162600 | 8806 tok/s
[fla-gdn-handoff-shape s0] step 3725 | loss 5.6640 | 1787s/3600s | tok 15265050 | 8806 tok/s
[fla-gdn-handoff-shape s0] step 3750 | loss 5.4550 | 1798s/3600s | tok 15367500 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 3775 | loss 5.2996 | 1810s/3600s | tok 15469950 | 8769 tok/s
[fla-gdn-handoff-shape s0] step 3800 | loss 4.1380 | 1822s/3600s | tok 15572400 | 8813 tok/s
[fla-gdn-handoff-shape s0] step 3825 | loss 4.7494 | 1834s/3600s | tok 15674850 | 8787 tok/s
[fla-gdn-handoff-shape s0] step 3850 | loss 5.8975 | 1846s/3600s | tok 15777300 | 8804 tok/s
[fla-gdn-handoff-shape s0] step 3875 | loss 5.6708 | 1857s/3600s | tok 15879750 | 8751 tok/s
[fla-gdn-handoff-shape s0] step 3900 | loss 4.8775 | 1869s/3600s | tok 15982200 | 8741 tok/s
[fla-gdn-handoff-shape s0] step 3925 | loss 4.8338 | 1881s/3600s | tok 16084650 | 8824 tok/s
[fla-gdn-handoff-shape s0] step 3950 | loss 4.8308 | 1893s/3600s | tok 16187100 | 8757 tok/s
[fla-gdn-handoff-shape s0] step 3975 | loss 5.1871 | 1904s/3600s | tok 16289550 | 8801 tok/s
[fla-gdn-handoff-shape s0] step 4000 | loss 4.2922 | 1916s/3600s | tok 16392000 | 8810 tok/s
[fla-gdn-handoff-shape s0] step 4025 | loss 4.0242 | 1928s/3600s | tok 16494450 | 8760 tok/s
[fla-gdn-handoff-shape s0] step 4050 | loss 4.7733 | 1940s/3600s | tok 16596900 | 8812 tok/s
[fla-gdn-handoff-shape s0] step 4075 | loss 4.4335 | 1951s/3600s | tok 16699350 | 8767 tok/s
[fla-gdn-handoff-shape s0] step 4100 | loss 4.9390 | 1963s/3600s | tok 16801800 | 8797 tok/s
[fla-gdn-handoff-shape s0] step 4125 | loss 5.3173 | 1975s/3600s | tok 16904250 | 8776 tok/s
[fla-gdn-handoff-shape s0] step 4150 | loss 4.6945 | 1987s/3600s | tok 17006700 | 8746 tok/s
[fla-gdn-handoff-shape s0] step 4175 | loss 4.8520 | 1998s/3600s | tok 17109150 | 8745 tok/s
[fla-gdn-handoff-shape s0] step 4200 | loss 4.2848 | 2010s/3600s | tok 17211600 | 8761 tok/s
[fla-gdn-handoff-shape s0] step 4225 | loss 5.0922 | 2022s/3600s | tok 17314050 | 8751 tok/s
[fla-gdn-handoff-shape s0] step 4250 | loss 3.6143 | 2034s/3600s | tok 17416500 | 8740 tok/s
[fla-gdn-handoff-shape s0] step 4275 | loss 4.8672 | 2045s/3600s | tok 17518950 | 8774 tok/s
[fla-gdn-handoff-shape s0] step 4300 | loss 5.0128 | 2057s/3600s | tok 17621400 | 8781 tok/s
[fla-gdn-handoff-shape s0] step 4325 | loss 3.6687 | 2069s/3600s | tok 17723850 | 8843 tok/s
