model,target_bits_per_token,reached,tokens,flops,flops_per_bit_saved
e1,2.5,True,4505600,1.35173e+16,1.03052e+15
e1,2.0,True,10199040,3.05983e+16,2.24706e+15
e1,1.8,False,,,
e88,2.5,True,4587520,1.32142e+16,1.0074e+15
e88,2.0,True,12902400,3.71648e+16,2.72929e+15
e88,1.8,True,34119680,9.82803e+16,7.11298e+15
fla-gdn,2.5,True,4423680,1.29713e+16,9.8889e+14
fla-gdn,2.0,True,6717440,1.96972e+16,1.44651e+15
fla-gdn,1.8,True,21667840,6.35354e+16,4.59833e+15
mamba2,2.5,True,4136960,1.22658e+16,9.35104e+14
mamba2,2.0,True,6512640,1.93095e+16,1.41804e+15
mamba2,1.8,True,21667840,6.42436e+16,4.64959e+15
