step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
10,40960,1.22885e+14,4.1196,4.1196,5.9433,1.27029e+13
20,81920,2.45769e+14,2.4029,3.2612,4.7050,2.25227e+13
30,122880,3.68654e+14,2.4114,2.9780,4.2963,3.25645e+13
40,163840,4.91538e+14,2.2761,2.8025,4.0432,4.24696e+13
50,204800,6.14423e+14,2.8889,2.8198,4.0681,5.32016e+13
60,245760,7.37308e+14,2.0002,2.6832,3.8710,6.27708e+13
70,286720,8.60192e+14,1.9534,2.5789,3.7206,7.23068e+13
80,327680,9.83077e+14,4.7600,2.8516,4.1139,8.54619e+13
90,368640,1.10596e+15,4.1223,2.9928,4.3176,9.78779e+13
100,409600,1.22885e+15,3.6172,3.0552,4.4077,1.09627e+14
110,450560,1.35173e+15,2.9273,3.0436,4.3909,1.2041e+14
120,491520,1.47462e+15,2.6684,3.0123,4.3458,1.3083e+14
130,532480,1.5975e+15,2.5558,2.9772,4.2952,1.41099e+14
140,573440,1.72038e+15,2.3345,2.9313,4.2290,1.51069e+14
150,614400,1.84327e+15,2.3309,2.8913,4.1712,1.61043e+14
160,655360,1.96615e+15,2.1561,2.8453,4.1049,1.7079e+14
170,696320,2.08904e+15,2.1909,2.8068,4.0494,1.80593e+14
180,737280,2.21192e+15,2.0922,2.7671,3.9921,1.90274e+14
190,778240,2.33481e+15,2.1647,2.7354,3.9464,2.00058e+14
200,819200,2.45769e+15,1.9583,2.6966,3.8903,2.0958e+14
210,860160,2.58058e+15,2.0049,2.6636,3.8428,2.19171e+14
220,901120,2.70346e+15,2.1276,2.6393,3.8076,2.28925e+14
230,942080,2.82635e+15,2.2022,2.6203,3.7802,2.38776e+14
240,983040,2.94923e+15,2.2292,2.6040,3.7567,2.48664e+14
250,1024000,3.07212e+15,2.0505,2.5818,3.7248,2.58329e+14
260,1064960,3.195e+15,1.6038,2.5442,3.6705,2.67442e+14
270,1105920,3.31788e+15,2.0609,2.5263,3.6447,2.77129e+14
280,1146880,3.44077e+15,2.2581,2.5167,3.6309,2.87062e+14
290,1187840,3.56365e+15,1.6816,2.4879,3.5893,2.96287e+14
300,1228800,3.68654e+15,0.6599,2.4270,3.5014,3.0428e+14
310,1269760,3.80942e+15,2.4239,2.4269,3.5013,3.14419e+14
320,1310720,3.93231e+15,1.9208,2.4111,3.4785,3.23951e+14
330,1351680,4.05519e+15,1.9333,2.3966,3.4576,3.33501e+14
340,1392640,4.17808e+15,2.1902,2.3905,3.4488,3.43359e+14
350,1433600,4.30096e+15,1.8670,2.3756,3.4272,3.52833e+14
360,1474560,4.42385e+15,1.3673,2.3476,3.3868,3.61714e+14
370,1515520,4.54673e+15,1.8310,2.3336,3.3667,3.71151e+14
380,1556480,4.66962e+15,1.7287,2.3177,3.3437,3.80469e+14
390,1597440,4.7925e+15,1.5029,2.2968,3.3136,3.89524e+14
400,1638400,4.91538e+15,1.4834,2.2765,3.2842,3.98562e+14
410,1679360,5.03827e+15,1.3159,2.2530,3.2504,4.07409e+14
420,1720320,5.16115e+15,1.7859,2.2419,3.2344,4.16805e+14
430,1761280,5.28404e+15,2.0866,2.2383,3.2292,4.2655e+14
440,1802240,5.40692e+15,2.1074,2.2353,3.2249,4.36318e+14
450,1843200,5.52981e+15,1.9368,2.2287,3.2153,4.4589e+14
460,1884160,5.65269e+15,1.7583,2.2185,3.2006,4.55257e+14
470,1925120,5.77558e+15,1.7953,2.2095,3.1876,4.64668e+14
480,1966080,5.89846e+15,2.1714,2.2087,3.1864,4.74511e+14
490,2007040,6.02135e+15,1.7582,2.1995,3.1732,4.83881e+14
500,2048000,6.14423e+15,1.6589,2.1887,3.1576,4.93138e+14
510,2088960,6.26712e+15,1.6728,2.1397,3.0870,5.00166e+14
520,2129920,6.39e+15,1.6695,2.1251,3.0658,5.09114e+14
530,2170880,6.51289e+15,1.8475,2.1138,3.0495,5.18232e+14
540,2211840,6.63577e+15,1.7073,2.1024,3.0331,5.27322e+14
550,2252800,6.75865e+15,1.5541,2.0757,2.9946,5.35448e+14
560,2293760,6.88154e+15,1.6904,2.0695,2.9857,5.44798e+14
570,2334720,7.00442e+15,1.6204,2.0629,2.9761,5.54105e+14
580,2375680,7.12731e+15,1.5413,1.9985,2.8832,5.59714e+14
590,2416640,7.25019e+15,1.8279,1.9526,2.8170,5.66419e+14
600,2457600,7.37308e+15,1.8033,1.9163,2.7647,5.73674e+14
610,2498560,7.49596e+15,1.6170,1.8901,2.7268,5.81524e+14
620,2539520,7.61885e+15,1.5270,1.8673,2.6939,5.89551e+14
630,2580480,7.74173e+15,1.6538,1.8492,2.6679,5.97856e+14
640,2621440,7.86462e+15,1.7869,1.8383,2.6521,6.06606e+14
650,2662400,7.9875e+15,1.6351,1.8244,2.6320,6.15131e+14
660,2703360,8.11039e+15,1.6693,1.8146,2.6180,6.2392e+14
670,2744320,8.23327e+15,1.8299,1.8074,2.6075,6.32866e+14
680,2785280,8.35615e+15,1.6927,1.7994,2.5960,6.41743e+14
690,2826240,8.47904e+15,1.8064,1.7923,2.5857,6.50664e+14
700,2867200,8.60192e+15,1.4233,1.7816,2.5702,6.59313e+14
710,2908160,8.72481e+15,1.5635,1.7727,2.5575,6.6808e+14
720,2949120,8.84769e+15,1.4474,1.7591,2.5379,6.76473e+14
730,2990080,8.97058e+15,1.3426,1.7419,2.5131,6.8457e+14
740,3031040,9.09346e+15,1.5109,1.7276,2.4924,6.92852e+14
750,3072000,9.21635e+15,1.2553,1.7117,2.4694,7.00989e+14
760,3112960,9.33923e+15,1.1477,1.7025,2.4562,7.09625e+14
770,3153920,9.46212e+15,1.0898,1.6831,2.4282,7.17435e+14
780,3194880,9.585e+15,1.0486,1.6589,2.3933,7.24834e+14
790,3235840,9.70789e+15,1.1570,1.6484,2.3782,7.33288e+14
800,3276800,9.83077e+15,1.7961,1.6712,2.4110,7.44413e+14
810,3317760,9.95365e+15,1.6580,1.6558,2.3889,7.52459e+14
820,3358720,1.00765e+16,1.6682,1.6508,2.3816,7.6133e+14
830,3399680,1.01994e+16,1.5507,1.6431,2.3705,7.69972e+14
840,3440640,1.03223e+16,1.3977,1.6273,2.3477,7.77906e+14
850,3481600,1.04452e+16,1.5653,1.6213,2.3390,7.8665e+14
860,3522560,1.05681e+16,1.4644,1.6232,2.3418,7.96073e+14
870,3563520,1.0691e+16,1.4859,1.6163,2.3318,8.04726e+14
880,3604480,1.08138e+16,1.6580,1.6149,2.3298,8.13851e+14
890,3645440,1.09367e+16,1.6533,1.6179,2.3341,8.23368e+14
