step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
10,40960,1.20105e+14,4.1918,4.1918,6.0475,1.25507e+13
20,81920,2.40209e+14,2.8041,3.4979,5.0465,2.27244e+13
30,122880,3.60314e+14,2.6330,3.2096,4.6305,3.2796e+13
40,163840,4.80419e+14,2.4879,3.0292,4.3702,4.27159e+13
50,204800,6.00523e+14,3.0953,3.0424,4.3893,5.34856e+13
60,245760,7.20628e+14,2.1000,2.8854,4.1627,6.2913e+13
70,286720,8.40733e+14,1.8905,2.7432,3.9576,7.21077e+13
80,327680,9.60837e+14,5.0632,3.0332,4.3760,8.5476e+13
90,368640,1.08094e+15,4.4129,3.1865,4.5972,9.80904e+13
100,409600,1.20105e+15,3.6853,3.2364,4.6691,1.09706e+14
110,450560,1.32115e+15,3.2337,3.2362,4.6688,1.20672e+14
120,491520,1.44126e+15,3.0699,3.2223,4.6488,1.31403e+14
130,532480,1.56136e+15,2.8048,3.1902,4.6025,1.41754e+14
140,573440,1.68147e+15,2.5157,3.1420,4.5330,1.51701e+14
150,614400,1.80157e+15,2.5313,3.1013,4.4742,1.6168e+14
160,655360,1.92167e+15,2.1836,3.0439,4.3915,1.71187e+14
170,696320,2.04178e+15,2.2563,2.9976,4.3246,1.8081e+14
180,737280,2.16188e+15,2.1199,2.9488,4.2543,1.90261e+14
190,778240,2.28199e+15,2.2419,2.9116,4.2006,1.99886e+14
200,819200,2.40209e+15,1.9786,2.8650,4.1333,2.09173e+14
210,860160,2.5222e+15,1.9698,2.8224,4.0718,2.18462e+14
220,901120,2.6423e+15,2.0789,2.7886,4.0230,2.27903e+14
230,942080,2.76241e+15,2.1368,2.7602,3.9822,2.37425e+14
240,983040,2.88251e+15,2.2353,2.7384,3.9506,2.47077e+14
250,1024000,3.00262e+15,2.0237,2.7098,3.9094,2.56466e+14
260,1064960,3.12272e+15,1.4896,2.6628,3.8417,2.65191e+14
270,1105920,3.24283e+15,2.0156,2.6389,3.8071,2.74584e+14
