step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
10,40960,1.21443e+14,6.5095,6.5095,9.3912,1.95064e+13
20,81920,2.42887e+14,2.8000,4.6547,6.7154,2.72856e+13
30,122880,3.6433e+14,2.2411,3.8502,5.5547,3.62072e+13
40,163840,4.85774e+14,2.6042,3.5387,5.1053,4.62124e+13
50,204800,6.07217e+14,2.0654,3.2440,4.6802,5.55202e+13
60,245760,7.28661e+14,1.6823,2.9838,4.3046,6.44126e+13
70,286720,8.50104e+14,4.4081,3.1872,4.5982,7.71501e+13
80,327680,9.71548e+14,3.8285,3.2674,4.7138,8.91067e+13
90,368640,1.09299e+15,3.1401,3.2532,4.6934,1.00058e+14
100,409600,1.21443e+15,2.5207,3.1800,4.5878,1.1011e+14
110,450560,1.33588e+15,2.4395,3.1127,4.4906,1.20064e+14
120,491520,1.45732e+15,2.2513,3.0409,4.3871,1.29771e+14
130,532480,1.57877e+15,1.9987,2.9607,4.2714,1.39152e+14
140,573440,1.70021e+15,2.0260,2.8940,4.1751,1.48594e+14
150,614400,1.82165e+15,1.8536,2.8246,4.0750,1.57828e+14
160,655360,1.9431e+15,1.8885,2.7661,3.9906,1.67128e+14
170,696320,2.06454e+15,1.7997,2.7092,3.9086,1.76329e+14
180,737280,2.18598e+15,1.8045,2.6590,3.8361,1.85553e+14
190,778240,2.30743e+15,1.6877,2.6079,3.7624,1.94643e+14
200,819200,2.42887e+15,1.6485,2.5599,3.6931,2.03698e+14
210,860160,2.55031e+15,1.8530,2.5262,3.6446,2.13015e+14
220,901120,2.67176e+15,2.1524,2.5092,3.6201,2.22703e+14
230,942080,2.7932e+15,2.0577,2.4896,3.5917,2.32277e+14
240,983040,2.91464e+15,2.0142,2.4698,3.5632,2.41801e+14
250,1024000,3.03609e+15,1.4748,2.4300,3.5057,2.50682e+14
260,1064960,3.15753e+15,1.8683,2.4084,3.4746,2.60041e+14
270,1105920,3.27897e+15,2.1189,2.3977,3.4591,2.69698e+14
280,1146880,3.40042e+15,1.6988,2.3727,3.4231,2.78861e+14
290,1187840,3.52186e+15,0.6254,2.3125,3.3362,2.86776e+14
300,1228800,3.6433e+15,2.1147,2.3059,3.3267,2.96436e+14
310,1269760,3.76475e+15,1.7274,2.2872,3.2997,3.05647e+14
320,1310720,3.88619e+15,1.8391,2.2732,3.2795,3.1499e+14
330,1351680,4.00763e+15,2.1049,2.2681,3.2722,3.2464e+14
340,1392640,4.12908e+15,1.7666,2.2534,3.2509,3.33902e+14
350,1433600,4.25052e+15,1.0509,2.2190,3.2013,3.42351e+14
360,1474560,4.37196e+15,1.7153,2.2050,3.1812,3.5156e+14
370,1515520,4.49341e+15,1.6006,2.1887,3.1576,3.60643e+14
380,1556480,4.61485e+15,1.4466,2.1691,3.1294,3.69554e+14
390,1597440,4.7363e+15,1.3853,2.1490,3.1004,3.78401e+14
400,1638400,4.85774e+15,1.2538,2.1267,3.0681,3.87105e+14
410,1679360,4.97918e+15,1.5152,2.1118,3.0466,3.96103e+14
420,1720320,5.10063e+15,2.0000,2.1091,3.0428,4.0564e+14
430,1761280,5.22207e+15,1.9147,2.1046,3.0363,4.15083e+14
440,1802240,5.34351e+15,1.7937,2.0975,3.0261,4.24392e+14
450,1843200,5.46496e+15,1.7463,2.0897,3.0148,4.3365e+14
460,1884160,5.5864e+15,1.6326,2.0798,3.0005,4.42783e+14
470,1925120,5.70784e+15,1.9184,2.0763,2.9955,4.52231e+14
480,1966080,5.82929e+15,1.7581,2.0697,2.9859,4.61503e+14
490,2007040,5.95073e+15,1.4987,2.0580,2.9691,4.70491e+14
500,2048000,6.07217e+15,1.5975,2.0488,2.9558,4.79589e+14
510,2088960,6.19362e+15,1.5875,1.9504,2.8138,4.83755e+14
520,2129920,6.31506e+15,1.7272,1.9289,2.7829,4.92051e+14
530,2170880,6.4365e+15,1.6394,1.9169,2.7655,5.00836e+14
540,2211840,6.55795e+15,1.4443,1.8937,2.7320,5.0896e+14
550,2252800,6.67939e+15,1.5860,1.8841,2.7182,5.17829e+14
560,2293760,6.80083e+15,1.5434,1.8813,2.7142,5.27081e+14
570,2334720,6.92228e+15,1.4224,1.8216,2.6281,5.32935e+14
580,2375680,7.04372e+15,1.5915,1.7769,2.5635,5.39603e+14
590,2416640,7.16516e+15,1.7549,1.7492,2.5235,5.47231e+14
600,2457600,7.28661e+15,1.5252,1.7293,2.4948,5.55288e+14
610,2498560,7.40805e+15,1.4632,1.7097,2.4666,5.63333e+14
620,2539520,7.5295e+15,1.5546,1.6958,2.4465,5.71694e+14
630,2580480,7.65094e+15,1.6563,1.6890,2.4367,5.8048e+14
640,2621440,7.77238e+15,1.5438,1.6793,2.4227,5.89072e+14
650,2662400,7.89383e+15,1.6153,1.6746,2.4159,5.97964e+14
660,2703360,8.01527e+15,1.6641,1.6701,2.4094,6.06866e+14
670,2744320,8.13671e+15,1.6733,1.6675,2.4058,6.15891e+14
680,2785280,8.25816e+15,1.6641,1.6647,2.4017,6.24892e+14
690,2826240,8.3796e+15,1.3538,1.6581,2.3921,6.3362e+14
700,2867200,8.50104e+15,1.4836,1.6548,2.3873,6.42571e+14
710,2908160,8.62249e+15,1.3394,1.6445,2.3725,6.51022e+14
720,2949120,8.74393e+15,1.2688,1.6268,2.3470,6.58922e+14
730,2990080,8.86537e+15,1.4269,1.6142,2.3288,6.67159e+14
740,3031040,8.98682e+15,1.1531,1.5970,2.3039,6.75036e+14
750,3072000,9.10826e+15,1.0554,1.5886,2.2918,6.83537e+14
760,3112960,9.2297e+15,1.0044,1.5713,2.2669,6.91357e+14
770,3153920,9.35115e+15,0.9560,1.5481,2.2334,6.98698e+14
780,3194880,9.47259e+15,0.9362,1.5328,2.2114,7.0661e+14
790,3235840,9.59403e+15,1.6155,1.5526,2.2399,7.17198e+14
800,3276800,9.71548e+15,1.6996,1.5443,2.2280,7.25627e+14
810,3317760,9.83692e+15,1.5715,1.5412,2.2235,7.3445e+14
820,3358720,9.95836e+15,1.4486,1.5334,2.2122,7.42893e+14
830,3399680,1.00798e+16,1.2617,1.5165,2.1879,7.5059e+14
840,3440640,1.02013e+16,1.5185,1.5115,2.1807,7.59228e+14
850,3481600,1.03227e+16,1.3008,1.5165,2.1879,7.68679e+14
860,3522560,1.04441e+16,1.4468,1.5112,2.1802,7.77274e+14
870,3563520,1.05656e+16,1.5123,1.5094,2.1776,7.86163e+14
880,3604480,1.0687e+16,1.5517,1.5115,2.1806,7.95379e+14
890,3645440,1.08085e+16,1.4537,1.5129,2.1826,8.04536e+14
900,3686400,1.09299e+16,1.3333,1.5145,2.1849,8.13714e+14
910,3727360,1.10514e+16,1.4360,1.5129,2.1826,8.22616e+14
920,3768320,1.11728e+16,1.5025,1.5029,2.1683,8.30768e+14
930,3809280,1.12942e+16,1.3513,1.4917,2.1520,8.38784e+14
940,3850240,1.14157e+16,1.3669,1.4831,2.1397,8.47028e+14
950,3891200,1.15371e+16,1.2141,1.4725,2.1243,8.55065e+14
960,3932160,1.16586e+16,1.5163,1.4702,2.1210,8.63851e+14
970,3973120,1.178e+16,1.6068,1.4639,2.1120,8.72268e+14
980,4014080,1.19015e+16,1.3513,1.4558,2.1003,8.80495e+14
990,4055040,1.20229e+16,1.5837,1.4575,2.1027,8.89642e+14
1000,4096000,1.21443e+16,1.6841,1.4592,2.1052,8.98794e+14
1010,4136960,1.22658e+16,1.5528,1.4585,2.1042,9.07715e+14
1020,4177920,1.23872e+16,1.3713,1.4514,2.0939,9.16006e+14
