architecture_family,architecture_model,source_inventory_group,sweep_id,run_id,run_status,generation,warm_start_index,generation_wallclock_utc,generation_elapsed_minutes,popsize,n_valid_this_gen,total_generated_this_gen,eval_counter,eval_id_start,eval_id_end,gen_best_loss,best_loss_so_far,generations_without_improvement,sigma,source_log_path
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,0,0,2026-05-30T16:28:33Z,0,8,8,192,8,0,7,6.21238333333,6.21238333333,0,0.340403390859,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,1,0,2026-05-30T17:24:43Z,56.1666666667,8,6,320,14,8,13,6.25950465116,6.21238333333,1,0.3327507069,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,2,0,2026-05-30T18:02:24Z,93.85,8,5,320,19,14,18,6.24471666667,6.21238333333,2,0.310972873159,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,3,0,2026-05-30T18:50:25Z,141.866666667,8,5,320,24,19,23,6.18878306452,6.18878306452,0,0.337619185705,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,4,0,2026-05-30T19:08:36Z,160.05,8,2,320,26,24,25,6.35313333333,6.18878306452,0,0.337619185705,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,5,0,2026-05-30T19:24:58Z,176.416666667,8,2,320,28,26,27,6.10860509554,6.10860509554,0,0.337619185705,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E88 normal rerun,e88,fresh_corrected_1300m,redo_1300m_e88,redo_1300m_e88,partial_in_flight_no_results_json,6,0,2026-05-30T19:57:03Z,208.5,8,4,320,32,28,31,6.38799537037,6.10860509554,1,0.342586480181,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e88/e88_20260530_151323/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,0,0,2026-05-29T16:31:00Z,0,8,8,416,8,0,7,5.99803255814,5.99803255814,0,0.277205016306,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,1,0,2026-05-29T17:41:50Z,70.8333333333,8,8,432,16,8,15,6.17101447368,5.99803255814,1,0.254129988523,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,2,0,2026-05-29T18:52:43Z,141.716666667,8,8,448,24,16,23,6.02537529412,5.99803255814,2,0.261865943828,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,3,0,2026-05-29T19:58:07Z,207.116666667,8,8,384,32,24,31,6.14711942446,5.99803255814,3,0.256017771027,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,4,0,2026-05-29T21:05:08Z,274.133333333,8,8,288,40,32,39,5.98203829787,5.98203829787,0,0.208912878778,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,5,0,2026-05-29T22:12:26Z,341.433333333,8,8,336,48,40,47,5.98573163842,5.98203829787,1,0.196852923843,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,6,0,2026-05-29T23:17:29Z,406.483333333,8,8,432,56,48,55,6.04238597561,5.98203829787,2,0.184422060573,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 normal,e97,fresh_corrected_1300m,redo_1300m_e97,redo_1300m_e97,complete_usable,7,0,2026-05-30T00:23:42Z,472.7,8,8,496,64,56,63,5.9733408284,5.9733408284,3,0.172710825615,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97/e97_20260529_152252/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,0,0,2026-05-30T12:44:05Z,0,8,8,496,8,0,7,6.22176142322,6.22176142322,0,0.272542929612,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,1,0,2026-05-30T13:49:52Z,65.7833333333,8,8,352,16,8,15,6.10578782051,6.10578782051,0,0.259626581343,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,2,0,2026-05-30T14:54:54Z,130.816666667,8,8,560,24,16,23,6.23207877095,6.10578782051,1,0.253425226508,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,3,0,2026-05-30T15:59:07Z,195.033333333,8,8,688,32,24,31,6.29453371429,6.10578782051,2,0.228159025217,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,4,0,2026-05-30T17:09:14Z,265.15,8,8,832,40,32,39,6.09674078212,6.09674078212,3,0.191288725166,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,5,0,2026-05-30T17:59:47Z,315.7,8,8,160,48,40,47,6.14153184713,6.09674078212,4,0.185332232427,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,6,0,2026-05-30T19:07:40Z,383.583333333,8,8,352,56,48,55,6.13579775281,6.09674078212,5,0.165092658177,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 linear-state,e97-linear,fresh_corrected_1300m,redo_1300m_e97_linear,redo_1300m_e97_linear,complete_usable,7,0,2026-05-30T20:12:47Z,448.7,8,8,400,64,56,63,6.17822091503,6.09674078212,6,0.146154090983,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-linear/e97-linear_20260530_113253/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,0,0,2026-05-30T01:34:28Z,0,8,8,368,8,0,7,6.16575063291,6.16575063291,0,0.274835172055,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,1,0,2026-05-30T02:38:41Z,64.2166666667,8,8,416,16,8,15,6.18274666667,6.16575063291,1,0.268685964807,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,2,0,2026-05-30T03:45:49Z,131.35,8,8,608,24,16,23,6.08308869048,6.08308869048,0,0.249040156739,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,3,0,2026-05-30T04:52:51Z,198.383333333,8,8,528,32,24,31,6.19624849498,6.08308869048,1,0.221932743724,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,4,0,2026-05-30T05:58:33Z,264.083333333,8,8,320,40,32,39,6.14220927835,6.08308869048,2,0.203773032175,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,5,0,2026-05-30T07:04:05Z,329.616666667,8,8,192,48,40,47,6.09004651163,6.08308869048,3,0.21038687251,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,6,0,2026-05-30T08:11:33Z,397.083333333,8,8,224,56,48,55,6.11031290323,6.08308869048,4,0.186902270995,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,7,0,2026-05-30T09:15:28Z,461,8,8,320,64,56,63,5.95110157895,5.95110157895,0,0.163274675642,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,8,0,2026-05-30T10:22:49Z,528.35,8,8,352,72,64,71,5.9988375,5.95110157895,1,0.16374286365,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
E97 raw-update,e97-raw,fresh_corrected_1300m,redo_1300m_e97_raw,redo_1300m_e97_raw,complete_usable,9,0,2026-05-30T11:32:53Z,598.416666667,8,8,336,80,72,79,6.06234835165,5.95110157895,2,0.139074047167,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/e97-raw/e97-raw_20260530_002342/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,0,0,2026-05-29T16:39:59Z,0,8,8,176,8,0,7,6.4740538961,6.4740538961,0,0.221968740966,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,1,0,2026-05-29T17:51:51Z,71.8666666667,8,8,160,16,8,15,6.38497961538,6.38497961538,0,0.217809495626,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,2,0,2026-05-29T19:06:00Z,146.016666667,8,8,176,24,16,23,6.538984375,6.38497961538,1,0.200474123461,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,3,0,2026-05-29T20:20:47Z,220.8,8,8,160,32,24,31,6.45277137255,6.38497961538,2,0.169908211586,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,4,0,2026-05-29T21:27:59Z,288,8,8,128,40,32,39,6.4035537037,6.38497961538,3,0.167068544933,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,5,0,2026-05-29T22:35:40Z,355.683333333,8,8,224,48,40,47,6.53859854015,6.38497961538,4,0.161431959743,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,6,0,2026-05-29T23:45:07Z,425.133333333,8,8,144,56,48,55,6.42200844156,6.38497961538,5,0.155767633716,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
GDN2,gdn2,fresh_corrected_1300m,redo_1300m_gdn2,redo_1300m_gdn2,complete_usable,7,0,2026-05-30T00:53:56Z,493.95,8,8,112,64,56,63,6.42624945455,6.38497961538,6,0.158389163559,/home/erikg/emender/experiments/local/cmaes_redo_1300m_20260529/gdn2/gdn2_20260529_152252/generations.jsonl
