step,loss,wallclock_s,wallclock_h,tokens_seen,bits_per_base,total_flops,smooth_5k,smooth_10k,smooth_50k
50,8.2872,86.61816951446455,0.024060602642906822,512000,2.9889755857137548,4015414702080000,5.319225490196079,4.940624752475247,4.146867065868263
100,6.9082,154.49567183449636,0.042915464398471215,1024000,2.491606470367284,8030829404160000,5.307771153846153,4.935019607843137,4.145964741035857
150,6.5805,223.07322340160056,0.06196478427822238,1536000,2.373413679142456,12046244106240000,5.295775471698113,4.930809708737864,4.144967594433399
200,6.3342,291.918187768953,0.08108838549137583,2048000,2.284579731999718,16061658808320000,5.284212962962964,4.9257519230769224,4.144091468253968
250,6.2535,360.7538962927497,0.10020941563687491,2560000,2.255473359549783,20077073510400000,5.274718181818182,4.920343809523809,4.143113663366337
300,6.0499,429.6544480354492,0.11934845778762478,3072000,2.182040181968535,24092488212480000,5.264966071428572,4.91601037735849,4.142269565217391
350,5.9014,498.61067699167813,0.1385029658310217,3584000,2.128480128575532,28107902914560000,5.255129824561403,4.910453271028038,4.141301380670611
400,5.7125,567.5761942330574,0.15766005395362706,4096000,2.060348855269551,32123317616640000,5.24528275862069,4.905726851851852,4.140365748031496
450,5.7511,636.3471814728157,0.176763105964671,4608000,2.0742708624141293,36138732318720000,5.238040677966102,4.900508256880734,4.139362671905697
500,5.654,705.02592057409,0.19584053349280278,5120000,2.0392494402965498,40154147020800000,5.227173333333334,4.89548,4.138598823529412
550,5.6629,773.7876718499429,0.21494101995831746,5632000,2.0424594367625275,44169561722880000,5.217036065573771,4.890962162162162,4.137692759295499
600,5.5958,842.7346150225795,0.2340929486173832,6144000,2.018258227451615,48184976424960000,5.206903225806451,4.885878571428571,4.136725195312501
650,5.5791,911.6815581952162,0.25324487727644895,6656000,2.012234975655904,52200391127040000,5.198430158730158,4.881472566371682,4.135822027290448
700,5.3762,980.7307827400577,0.2724252174277938,7168000,1.9390542697068114,56215805829120000,5.190049999999999,4.8767464912280705,4.1348673151750965
750,5.4556,1049.2349304521263,0.29145414734781283,7680000,1.9676917662684572,60231220531200000,5.180847692307692,4.872265217391305,4.134096116504855
800,5.3675,1117.7390781641948,0.31048307726783186,8192000,1.9359164079928777,64246635233280000,5.171084848484848,4.86725,4.133002906976744
850,5.2918,1186.4546868073298,0.3295707463353694,8704000,1.9086134043440544,68262049935360000,5.161952238805969,4.862476068376068,4.132083945841393
900,5.3673,1254.8307551833982,0.34856409866205507,9216000,1.9358442732408334,72277464637440000,5.153477941176469,4.857042372881357,4.131366216216216
950,5.342,1323.592506459251,0.3676645851275697,9728000,1.9267192271072107,76292879339520000,5.145489855072463,4.852702521008404,4.130504624277457
1000,5.2488,1392.1058210584747,0.38669606140513185,10240000,1.893104432654498,80308294041600000,5.1388028571428555,4.848763333333333,4.129618076923077
1050,5.2774,1460.7109396434942,0.40575303878985947,10752000,1.903419702196854,84323708743680000,5.13117042253521,4.844516528925619,4.128639155470249
1100,5.1713,1529.1418404721496,0.4247616223533749,11264000,1.865152216237274,88339123445760000,5.123922222222223,4.840187704918033,4.127685440613027
1150,5.189,1597.6185022348886,0.44378291728746905,11776000,1.871536141793208,92354538147840000,5.116212328767124,4.83670894308943,4.126819120458891
1200,5.1286,1666.0402582151105,0.4627889606153085,12288000,1.8497514466757843,96369952849920000,5.108755405405406,4.8320983870967735,4.125879770992367
1250,5.1428,1734.5902649094471,0.4818306291415131,12800000,1.8548730140709404,100385367552000000,5.100618666666667,4.8284264,4.125062285714285
1300,5.0541,1803.2690040107213,0.5009080566696448,13312000,1.8228812515392276,104400782254080000,5.093536842105263,4.824829365079364,4.124314448669201
1350,4.9875,1871.6359421867128,0.5198988728296424,13824000,1.7988603791084263,108416196956160000,5.086049350649351,4.820580314960629,4.123579886148008
1400,5.1482,1940.453146487788,0.5390147629132744,14336000,1.8568206523761404,112431611658240000,5.078210256410257,4.81649453125,4.122741098484848
1450,5.0543,2008.8840473164435,0.5580233464767899,14848000,1.822953386291272,116447026360320000,5.070569620253165,4.812926356589148,4.121845746691871
1500,4.9955,2077.498359833195,0.5770828777314431,15360000,1.8017457691902041,120462441062400000,5.06430125,4.8089738461538465,4.120819245283019
1550,5.0698,2146.269347072953,0.596185929742487,15872000,1.8285438295747167,124477855764480000,5.057387654320987,4.80484427480916,4.119876271186441
1600,5.0045,2215.15135971926,0.615319822144239,16384000,1.8049918330322046,128493270466560000,5.050665853658536,4.800355303030303,4.118915789473685
1650,5.0326,2283.6555074313287,0.634348752064258,16896000,1.8151267656944494,132508685168640000,5.044289156626506,4.796404511278196,4.118044465290807
1700,4.9857,2352.2238749149233,0.6533955208097009,17408000,1.7982111663400262,136524099870720000,5.038142857142857,4.792207462686567,4.117144194756555
1750,4.9369,2420.893402811919,0.6724703896699774,17920000,1.7806102868411808,140539514572800000,5.031641176470588,4.788362222222222,4.116408037383177
1800,4.9904,2489.4893299287464,0.6915248138690963,18432000,1.799906333013071,144554929274880000,5.024972093023255,4.784813970588235,4.11557406716418
1850,4.9223,2558.122037703545,0.7105894549176515,18944000,1.7753444499419362,148570343976960000,5.019125287356322,4.781460583941605,4.114752700186219
1900,4.8701,2626.81920662881,0.7296720018413362,19456000,1.7565172796583353,152585758679040000,5.013877272727273,4.777366666666666,4.113862267657993
1950,4.8374,2695.710487576065,0.7488084687711292,19968000,1.744723247699068,156601173381120000,5.007213483146067,4.774187769784173,4.113113358070501
2000,4.9133,2764.232971516108,0.7678424920878079,20480000,1.772098386099936,160616588083200000,5.001196666666667,4.770954285714287,4.112223148148148
2050,4.791,2832.9762583045076,0.7869378495290299,20992000,1.7279879852247562,164632002785280000,4.995704395604395,4.7671163120567375,4.111344362292051
2100,4.9157,2901.4712415820995,0.8059642337728055,21504000,1.7729640031244696,168647417487360000,4.989385869565218,4.764019014084507,4.110455719557196
2150,4.8258,2970.0028973176104,0.8250008048104474,22016000,1.74053943208049,172662832189440000,4.983581720430108,4.75993006993007,4.10964861878453
2200,4.7507,3038.4887186124206,0.8440246440590057,22528000,1.7134528326877998,176678246891520000,4.97775,4.756041666666667,4.1088764705882355
2250,4.7704,3107.0020332116446,0.863056120336568,23040000,1.720558105764178,180693661593600000,4.9717821052631574,4.752442758620689,4.107942018348624
2300,4.8912,3175.378101587713,0.8820494726632536,23552000,1.7641274959990247,184709076295680000,4.966628125,4.749577397260274,4.107097069597069
2350,4.8464,3243.845606268109,0.9010682239633636,24064000,1.7479693115410682,188724490997760000,4.961542268041237,4.746357823129252,4.106267276051189
2400,4.7352,3312.2673622483308,0.920074267291203,24576000,1.707862389404355,192739905699840000,4.95548163265306,4.7430952702702704,4.105408211678832
2450,4.8223,3380.7348669287267,0.939093018591313,25088000,1.7392770739197123,196755320401920000,4.9503141414141405,4.739646308724833,4.104504735883424
2500,4.7525,3449.349179445478,0.9581525498459661,25600000,1.7141020454562,200770735104000000,4.945695,4.736197333333334,4.103593090909091
2550,4.7481,3518.064788088613,0.9772402189135037,26112000,1.7125150809112217,204786149806080000,4.940624752475247,4.7324006622516555,4.102733756805807
2600,4.7236,3586.826539364466,0.9963407053790183,26624000,1.7036785737857771,208801564508160000,4.901829702970296,4.729247368421054,4.101928260869565
2650,4.672,3655.321522642058,1.015367089622794,27136000,1.6850678077583092,212816979210240000,4.878,4.725954901960785,4.101182820976492
2700,4.6714,3723.761570763967,1.034378214101102,27648000,1.684851403502176,216832393912320000,4.856458415841584,4.72292012987013,4.100498736462094
2750,4.762,3791.7652897173475,1.0532681360325966,28160000,1.717528446178311,220847808614400000,4.83689108910891,4.718995483870969,4.099626846846847
2800,4.7286,3860.2327943977434,1.0722868873327065,28672000,1.7054819425868881,224863223316480000,4.819143564356436,4.715342948717949,4.098748741007195
2850,4.7043,3928.6911444445414,1.0913030956790393,29184000,1.6967175702134876,228878638018560000,4.802029702970297,4.711699363057326,4.097942908438061
2900,4.684,3997.112900424763,1.1103091390068787,29696000,1.6893958928809762,232894052720640000,4.787164356435643,4.708267088607596,4.0971306451612906
2950,4.818,4065.4342241504105,1.1292872844862252,30208000,1.7377261767507564,236909467422720000,4.773544554455445,4.705267924528302,4.096320214669052
3000,4.586,4133.855980130632,1.1482933278140643,30720000,1.6540498643791968,240924882124800000,4.7596465346534655,4.70228625,4.095445
3050,4.6088,4216.052159292616,1.1711255998035044,31232000,1.6622732261122635,244940296826880000,4.747171287128713,4.699426708074534,4.094586274509804
3100,4.5888,4284.273345168699,1.1900759292135275,31744000,1.6550597509078189,248955711528960000,4.733891089108911,4.696337654320987,4.093720640569395
3150,4.6731,4352.998177383464,1.2091661603842956,32256000,1.6854645488945537,252971126231040000,4.721932673267327,4.693479754601227,4.092972291296625
3200,4.6621,4421.502325095533,1.2281950903043146,32768000,1.681497137532109,256986540933120000,4.709691089108911,4.690734146341463,4.092157801418439
3250,4.5919,4490.171852992528,1.2472699591645913,33280000,1.6561778395645077,261001955635200000,4.699643564356435,4.687398181818182,4.091438761061947
3300,4.5365,4558.648514755268,1.2662912540986855,33792000,1.6361965132481957,265017370337280000,4.688107920792079,4.68418313253012,4.090482862190814
3350,4.5592,4626.978956500897,1.2852719323613602,34304000,1.6443838076052404,269032785039360000,4.677624752475246,4.680679041916168,4.089726807760141
3400,4.5857,4695.32764158967,1.3042576782193527,34816000,1.65394166225113,273048199741440000,4.667025742574257,4.677436904761905,4.088945246478874
3450,4.6023,4763.557918775171,1.323210532993103,35328000,1.659928846670819,277063614443520000,4.656860396039603,4.674409467455622,4.088013181019332
3500,4.6774,4832.089574510682,1.3422471040307449,35840000,1.6870154460635092,281079029145600000,4.6473356435643565,4.671137058823529,4.0871701754385965
3550,4.5969,4900.210915649585,1.3611696987915516,36352000,1.657981208365619,285094443847680000,4.638287128712871,4.66865380116959,4.086347635726796
3600,4.6093,4968.8436234243845,1.380234339840107,36864000,1.662453562992375,289109858549760000,4.628772277227722,4.666059883720931,4.08543513986014
3650,4.5611,5037.155831563144,1.3992099532119844,37376000,1.6450690877496628,293125273251840000,4.6212574257425745,4.663143930635838,4.084635951134381
3700,4.5644,5105.577587543366,1.4182159965398238,37888000,1.6462593111583963,297140687953920000,4.61210891089109,4.660482183908046,4.083913240418118
3750,4.4985,5174.09090214259,1.437247472817386,38400000,1.6224909103597505,301156102656000000,4.604628712871287,4.658044,4.083156347826088
