Using device: cuda
Output directory: paper/review/wl_lm/delta_gdn/leveltyped-gdn2-lm_100m_20260607_154543
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.9s, 1041.1s remaining for training.
step     10 | loss 10.8885 | lr 3.00e-04 | grad 9.12 | tok/s 4813 | elapsed_h 0.007 | time 2026-06-07T15:46:03+00:00
step     20 | loss 10.3064 | lr 3.00e-04 | grad 6.09 | tok/s 45804 | elapsed_h 0.008 | time 2026-06-07T15:46:05+00:00
step     30 | loss 8.7189 | lr 3.00e-04 | grad 1.23 | tok/s 45796 | elapsed_h 0.008 | time 2026-06-07T15:46:07+00:00
step     40 | loss 8.2421 | lr 3.00e-04 | grad 0.84 | tok/s 45766 | elapsed_h 0.009 | time 2026-06-07T15:46:08+00:00
step     50 | loss 8.0019 | lr 3.00e-04 | grad 0.94 | tok/s 45798 | elapsed_h 0.009 | time 2026-06-07T15:46:10+00:00
step     60 | loss 7.8471 | lr 3.00e-04 | grad 1.04 | tok/s 46401 | elapsed_h 0.010 | time 2026-06-07T15:46:12+00:00
step     70 | loss 7.7734 | lr 3.00e-04 | grad 1.40 | tok/s 46117 | elapsed_h 0.010 | time 2026-06-07T15:46:14+00:00
step     80 | loss 7.7272 | lr 3.00e-04 | grad 1.33 | tok/s 45824 | elapsed_h 0.011 | time 2026-06-07T15:46:15+00:00
step     90 | loss 7.6290 | lr 3.00e-04 | grad 1.53 | tok/s 45865 | elapsed_h 0.011 | time 2026-06-07T15:46:17+00:00
step    100 | loss 7.6291 | lr 3.00e-04 | grad 1.55 | tok/s 45836 | elapsed_h 0.012 | time 2026-06-07T15:46:19+00:00
step    110 | loss 7.5685 | lr 3.00e-04 | grad 1.49 | tok/s 45762 | elapsed_h 0.012 | time 2026-06-07T15:46:21+00:00
step    120 | loss 7.5408 | lr 3.00e-04 | grad 1.71 | tok/s 45798 | elapsed_h 0.013 | time 2026-06-07T15:46:23+00:00
step    130 | loss 7.5622 | lr 3.00e-04 | grad 1.59 | tok/s 45802 | elapsed_h 0.013 | time 2026-06-07T15:46:24+00:00
step    140 | loss 7.4779 | lr 3.00e-04 | grad 1.67 | tok/s 45791 | elapsed_h 0.014 | time 2026-06-07T15:46:26+00:00
step    150 | loss 7.4663 | lr 3.00e-04 | grad 1.66 | tok/s 45795 | elapsed_h 0.014 | time 2026-06-07T15:46:28+00:00
step    160 | loss 7.4454 | lr 3.00e-04 | grad 1.57 | tok/s 45811 | elapsed_h 0.015 | time 2026-06-07T15:46:30+00:00
step    170 | loss 7.4064 | lr 3.00e-04 | grad 1.81 | tok/s 45903 | elapsed_h 0.015 | time 2026-06-07T15:46:32+00:00
step    180 | loss 7.3902 | lr 3.00e-04 | grad 1.71 | tok/s 45689 | elapsed_h 0.016 | time 2026-06-07T15:46:33+00:00
step    190 | loss 7.3173 | lr 3.00e-04 | grad 1.88 | tok/s 45807 | elapsed_h 0.016 | time 2026-06-07T15:46:35+00:00
step    200 | loss 7.3475 | lr 3.00e-04 | grad 1.71 | tok/s 45798 | elapsed_h 0.017 | time 2026-06-07T15:46:37+00:00
step    210 | loss 7.3043 | lr 3.00e-04 | grad 1.79 | tok/s 45790 | elapsed_h 0.017 | time 2026-06-07T15:46:39+00:00
step    220 | loss 7.3476 | lr 3.00e-04 | grad 1.70 | tok/s 45803 | elapsed_h 0.018 | time 2026-06-07T15:46:41+00:00
step    230 | loss 7.2625 | lr 3.00e-04 | grad 1.62 | tok/s 45889 | elapsed_h 0.018 | time 2026-06-07T15:46:42+00:00
step    240 | loss 7.2484 | lr 3.00e-04 | grad 2.05 | tok/s 45705 | elapsed_h 0.019 | time 2026-06-07T15:46:44+00:00
step    250 | loss 7.2918 | lr 3.00e-04 | grad 1.59 | tok/s 45763 | elapsed_h 0.019 | time 2026-06-07T15:46:46+00:00
step    260 | loss 7.2452 | lr 3.00e-04 | grad 1.82 | tok/s 45786 | elapsed_h 0.020 | time 2026-06-07T15:46:48+00:00
step    270 | loss 7.2111 | lr 3.00e-04 | grad 1.63 | tok/s 45773 | elapsed_h 0.020 | time 2026-06-07T15:46:50+00:00
step    280 | loss 7.1886 | lr 3.00e-04 | grad 1.60 | tok/s 45773 | elapsed_h 0.021 | time 2026-06-07T15:46:51+00:00
step    290 | loss 7.1541 | lr 3.00e-04 | grad 1.53 | tok/s 45411 | elapsed_h 0.021 | time 2026-06-07T15:46:53+00:00
step    300 | loss 7.1707 | lr 3.00e-04 | grad 1.58 | tok/s 45679 | elapsed_h 0.022 | time 2026-06-07T15:46:55+00:00
step    310 | loss 7.1066 | lr 3.00e-04 | grad 1.59 | tok/s 45347 | elapsed_h 0.022 | time 2026-06-07T15:46:57+00:00
step    320 | loss 7.0957 | lr 3.00e-04 | grad 1.95 | tok/s 45750 | elapsed_h 0.023 | time 2026-06-07T15:46:59+00:00
step    330 | loss 7.1580 | lr 3.00e-04 | grad 1.63 | tok/s 45312 | elapsed_h 0.023 | time 2026-06-07T15:47:01+00:00
step    340 | loss 7.0672 | lr 3.00e-04 | grad 2.25 | tok/s 45280 | elapsed_h 0.024 | time 2026-06-07T15:47:02+00:00
step    350 | loss 7.0381 | lr 3.00e-04 | grad 1.57 | tok/s 45306 | elapsed_h 0.024 | time 2026-06-07T15:47:04+00:00
step    360 | loss 7.0466 | lr 3.00e-04 | grad 1.64 | tok/s 45285 | elapsed_h 0.025 | time 2026-06-07T15:47:06+00:00
step    370 | loss 7.1455 | lr 3.00e-04 | grad 1.70 | tok/s 45325 | elapsed_h 0.025 | time 2026-06-07T15:47:08+00:00
step    380 | loss 7.0207 | lr 3.00e-04 | grad 1.58 | tok/s 45269 | elapsed_h 0.026 | time 2026-06-07T15:47:10+00:00
step    390 | loss 6.9354 | lr 3.00e-04 | grad 1.59 | tok/s 45285 | elapsed_h 0.026 | time 2026-06-07T15:47:11+00:00
step    400 | loss 6.9697 | lr 3.00e-04 | grad 1.52 | tok/s 45312 | elapsed_h 0.027 | time 2026-06-07T15:47:13+00:00
step    410 | loss 6.9910 | lr 3.00e-04 | grad 1.78 | tok/s 45260 | elapsed_h 0.027 | time 2026-06-07T15:47:15+00:00
step    420 | loss 7.0852 | lr 3.00e-04 | grad 1.55 | tok/s 45320 | elapsed_h 0.028 | time 2026-06-07T15:47:17+00:00
step    430 | loss 7.0029 | lr 3.00e-04 | grad 1.62 | tok/s 45292 | elapsed_h 0.028 | time 2026-06-07T15:47:19+00:00
step    440 | loss 6.9646 | lr 3.00e-04 | grad 1.65 | tok/s 45291 | elapsed_h 0.029 | time 2026-06-07T15:47:21+00:00
step    450 | loss 6.9938 | lr 3.00e-04 | grad 1.55 | tok/s 45308 | elapsed_h 0.029 | time 2026-06-07T15:47:22+00:00
