Using device: cuda
Output directory: paper/review/wl_lm/delta_gdnneg/leveltyped-gdn2-lm_100m_20260607_154548
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.3s, 1041.7s remaining for training.
step     10 | loss 10.9115 | lr 3.00e-04 | grad 13.56 | tok/s 6469 | elapsed_h 0.006 | time 2026-06-07T15:46:03+00:00
step     20 | loss 10.5873 | lr 3.00e-04 | grad 13.19 | tok/s 45806 | elapsed_h 0.006 | time 2026-06-07T15:46:05+00:00
step     30 | loss 9.0585 | lr 3.00e-04 | grad 1.48 | tok/s 45797 | elapsed_h 0.007 | time 2026-06-07T15:46:07+00:00
step     40 | loss 8.4343 | lr 3.00e-04 | grad 0.94 | tok/s 45914 | elapsed_h 0.007 | time 2026-06-07T15:46:08+00:00
step     50 | loss 8.1492 | lr 3.00e-04 | grad 1.05 | tok/s 45687 | elapsed_h 0.008 | time 2026-06-07T15:46:10+00:00
step     60 | loss 7.9497 | lr 3.00e-04 | grad 1.52 | tok/s 45813 | elapsed_h 0.008 | time 2026-06-07T15:46:12+00:00
step     70 | loss 7.8438 | lr 3.00e-04 | grad 1.44 | tok/s 45780 | elapsed_h 0.009 | time 2026-06-07T15:46:14+00:00
step     80 | loss 7.8183 | lr 3.00e-04 | grad 1.76 | tok/s 45726 | elapsed_h 0.009 | time 2026-06-07T15:46:16+00:00
step     90 | loss 7.7364 | lr 3.00e-04 | grad 1.85 | tok/s 45824 | elapsed_h 0.010 | time 2026-06-07T15:46:17+00:00
step    100 | loss 7.7128 | lr 3.00e-04 | grad 1.90 | tok/s 45757 | elapsed_h 0.010 | time 2026-06-07T15:46:19+00:00
step    110 | loss 7.7157 | lr 3.00e-04 | grad 1.97 | tok/s 45785 | elapsed_h 0.011 | time 2026-06-07T15:46:21+00:00
step    120 | loss 7.6468 | lr 3.00e-04 | grad 1.91 | tok/s 45811 | elapsed_h 0.011 | time 2026-06-07T15:46:23+00:00
step    130 | loss 7.6157 | lr 3.00e-04 | grad 2.27 | tok/s 45838 | elapsed_h 0.012 | time 2026-06-07T15:46:25+00:00
step    140 | loss 7.6673 | lr 3.00e-04 | grad 2.31 | tok/s 45725 | elapsed_h 0.012 | time 2026-06-07T15:46:26+00:00
step    150 | loss 7.5876 | lr 3.00e-04 | grad 2.27 | tok/s 45823 | elapsed_h 0.013 | time 2026-06-07T15:46:28+00:00
step    160 | loss 7.5692 | lr 3.00e-04 | grad 2.95 | tok/s 45736 | elapsed_h 0.013 | time 2026-06-07T15:46:30+00:00
step    170 | loss 7.5578 | lr 3.00e-04 | grad 2.30 | tok/s 45318 | elapsed_h 0.014 | time 2026-06-07T15:46:32+00:00
step    180 | loss 7.4842 | lr 3.00e-04 | grad 2.28 | tok/s 45338 | elapsed_h 0.014 | time 2026-06-07T15:46:34+00:00
step    190 | loss 7.4886 | lr 3.00e-04 | grad 2.56 | tok/s 45662 | elapsed_h 0.015 | time 2026-06-07T15:46:35+00:00
step    200 | loss 7.4661 | lr 3.00e-04 | grad 2.81 | tok/s 45271 | elapsed_h 0.015 | time 2026-06-07T15:46:37+00:00
step    210 | loss 7.4486 | lr 3.00e-04 | grad 2.27 | tok/s 45151 | elapsed_h 0.016 | time 2026-06-07T15:46:39+00:00
step    220 | loss 7.4502 | lr 3.00e-04 | grad 2.30 | tok/s 45452 | elapsed_h 0.016 | time 2026-06-07T15:46:41+00:00
step    230 | loss 7.4680 | lr 3.00e-04 | grad 2.27 | tok/s 45262 | elapsed_h 0.017 | time 2026-06-07T15:46:43+00:00
step    240 | loss 7.3576 | lr 3.00e-04 | grad 2.23 | tok/s 45273 | elapsed_h 0.017 | time 2026-06-07T15:46:44+00:00
step    250 | loss 7.4133 | lr 3.00e-04 | grad 2.11 | tok/s 45223 | elapsed_h 0.018 | time 2026-06-07T15:46:46+00:00
step    260 | loss 7.4372 | lr 3.00e-04 | grad 2.16 | tok/s 45277 | elapsed_h 0.018 | time 2026-06-07T15:46:48+00:00
step    270 | loss 7.3751 | lr 3.00e-04 | grad 2.12 | tok/s 45325 | elapsed_h 0.019 | time 2026-06-07T15:46:50+00:00
step    280 | loss 7.3865 | lr 3.00e-04 | grad 2.19 | tok/s 45272 | elapsed_h 0.019 | time 2026-06-07T15:46:52+00:00
step    290 | loss 7.2881 | lr 3.00e-04 | grad 2.30 | tok/s 45295 | elapsed_h 0.020 | time 2026-06-07T15:46:54+00:00
step    300 | loss 7.3054 | lr 3.00e-04 | grad 2.25 | tok/s 45335 | elapsed_h 0.020 | time 2026-06-07T15:46:55+00:00
step    310 | loss 7.2841 | lr 3.00e-04 | grad 2.31 | tok/s 44842 | elapsed_h 0.021 | time 2026-06-07T15:46:57+00:00
step    320 | loss 7.2149 | lr 3.00e-04 | grad 2.14 | tok/s 44875 | elapsed_h 0.021 | time 2026-06-07T15:46:59+00:00
step    330 | loss 7.3714 | lr 3.00e-04 | grad 2.17 | tok/s 44846 | elapsed_h 0.022 | time 2026-06-07T15:47:01+00:00
step    340 | loss 7.2059 | lr 3.00e-04 | grad 2.12 | tok/s 44870 | elapsed_h 0.022 | time 2026-06-07T15:47:03+00:00
step    350 | loss 7.2344 | lr 3.00e-04 | grad 1.99 | tok/s 44937 | elapsed_h 0.023 | time 2026-06-07T15:47:05+00:00
step    360 | loss 7.2339 | lr 3.00e-04 | grad 2.30 | tok/s 44781 | elapsed_h 0.023 | time 2026-06-07T15:47:06+00:00
step    370 | loss 7.2902 | lr 3.00e-04 | grad 2.14 | tok/s 44649 | elapsed_h 0.024 | time 2026-06-07T15:47:08+00:00
step    380 | loss 7.2447 | lr 3.00e-04 | grad 2.39 | tok/s 44671 | elapsed_h 0.024 | time 2026-06-07T15:47:10+00:00
step    390 | loss 7.1235 | lr 3.00e-04 | grad 2.03 | tok/s 44567 | elapsed_h 0.025 | time 2026-06-07T15:47:12+00:00
step    400 | loss 7.1558 | lr 3.00e-04 | grad 2.17 | tok/s 44593 | elapsed_h 0.026 | time 2026-06-07T15:47:14+00:00
step    410 | loss 7.1733 | lr 3.00e-04 | grad 2.31 | tok/s 44421 | elapsed_h 0.026 | time 2026-06-07T15:47:16+00:00
step    420 | loss 7.1844 | lr 3.00e-04 | grad 2.06 | tok/s 44535 | elapsed_h 0.027 | time 2026-06-07T15:47:18+00:00
step    430 | loss 7.2289 | lr 3.00e-04 | grad 2.17 | tok/s 44440 | elapsed_h 0.027 | time 2026-06-07T15:47:19+00:00
step    440 | loss 7.1428 | lr 3.00e-04 | grad 2.06 | tok/s 44414 | elapsed_h 0.028 | time 2026-06-07T15:47:21+00:00
step    450 | loss 7.1601 | lr 3.00e-04 | grad 2.06 | tok/s 44602 | elapsed_h 0.028 | time 2026-06-07T15:47:23+00:00
step    460 | loss 7.1615 | lr 3.00e-04 | grad 2.02 | tok/s 44383 | elapsed_h 0.029 | time 2026-06-07T15:47:25+00:00
step    470 | loss 7.1211 | lr 3.00e-04 | grad 2.08 | tok/s 44538 | elapsed_h 0.029 | time 2026-06-07T15:47:27+00:00
step    480 | loss 7.0722 | lr 3.00e-04 | grad 2.27 | tok/s 44568 | elapsed_h 0.030 | time 2026-06-07T15:47:29+00:00
step    490 | loss 7.1628 | lr 3.00e-04 | grad 2.11 | tok/s 44798 | elapsed_h 0.030 | time 2026-06-07T15:47:30+00:00
step    500 | loss 7.1112 | lr 3.00e-04 | grad 1.91 | tok/s 45704 | elapsed_h 0.031 | time 2026-06-07T15:47:32+00:00
  >>> validation loss: 9.5250
step    510 | loss 7.0819 | lr 3.00e-04 | grad 2.08 | tok/s 417 | elapsed_h 0.085 | time 2026-06-07T15:50:49+00:00
step    520 | loss 7.1055 | lr 3.00e-04 | grad 2.56 | tok/s 46222 | elapsed_h 0.086 | time 2026-06-07T15:50:51+00:00
step    530 | loss 6.9936 | lr 3.00e-04 | grad 2.09 | tok/s 45974 | elapsed_h 0.086 | time 2026-06-07T15:50:53+00:00
step    540 | loss 7.1084 | lr 3.00e-04 | grad 2.00 | tok/s 45668 | elapsed_h 0.087 | time 2026-06-07T15:50:55+00:00
step    550 | loss 6.9916 | lr 3.00e-04 | grad 2.03 | tok/s 46132 | elapsed_h 0.087 | time 2026-06-07T15:50:56+00:00
step    560 | loss 7.0376 | lr 3.00e-04 | grad 2.42 | tok/s 45923 | elapsed_h 0.088 | time 2026-06-07T15:50:58+00:00
step    570 | loss 6.9541 | lr 3.00e-04 | grad 1.96 | tok/s 45802 | elapsed_h 0.088 | time 2026-06-07T15:51:00+00:00
step    580 | loss 7.0767 | lr 3.00e-04 | grad 2.06 | tok/s 45790 | elapsed_h 0.089 | time 2026-06-07T15:51:02+00:00
step    590 | loss 7.0345 | lr 3.00e-04 | grad 2.05 | tok/s 45791 | elapsed_h 0.089 | time 2026-06-07T15:51:04+00:00
step    600 | loss 6.9519 | lr 3.00e-04 | grad 1.93 | tok/s 45711 | elapsed_h 0.090 | time 2026-06-07T15:51:05+00:00
step    610 | loss 7.0141 | lr 3.00e-04 | grad 1.92 | tok/s 45344 | elapsed_h 0.090 | time 2026-06-07T15:51:07+00:00
step    620 | loss 6.9616 | lr 3.00e-04 | grad 2.02 | tok/s 45777 | elapsed_h 0.091 | time 2026-06-07T15:51:09+00:00
step    630 | loss 6.9957 | lr 3.00e-04 | grad 2.03 | tok/s 45779 | elapsed_h 0.091 | time 2026-06-07T15:51:11+00:00
step    640 | loss 6.8772 | lr 3.00e-04 | grad 2.00 | tok/s 45578 | elapsed_h 0.092 | time 2026-06-07T15:51:13+00:00
step    650 | loss 7.0186 | lr 3.00e-04 | grad 1.96 | tok/s 45325 | elapsed_h 0.092 | time 2026-06-07T15:51:14+00:00
step    660 | loss 6.9003 | lr 3.00e-04 | grad 2.17 | tok/s 45293 | elapsed_h 0.093 | time 2026-06-07T15:51:16+00:00
