Using device: cuda
Output directory: paper/review/wl_lm/delta_none/leveltyped-gdn2-lm_100m_20260607_154539
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.4s, 1040.6s remaining for training.
step     10 | loss 10.4664 | lr 3.00e-04 | grad 2.64 | tok/s 4830 | elapsed_h 0.007 | time 2026-06-07T15:45:58+00:00
step     20 | loss 9.0806 | lr 3.00e-04 | grad 1.47 | tok/s 41854 | elapsed_h 0.008 | time 2026-06-07T15:46:00+00:00
step     30 | loss 8.0677 | lr 3.00e-04 | grad 1.02 | tok/s 41874 | elapsed_h 0.008 | time 2026-06-07T15:46:02+00:00
step     40 | loss 7.6238 | lr 3.00e-04 | grad 1.39 | tok/s 41535 | elapsed_h 0.009 | time 2026-06-07T15:46:04+00:00
step     50 | loss 7.4824 | lr 3.00e-04 | grad 1.26 | tok/s 41679 | elapsed_h 0.010 | time 2026-06-07T15:46:06+00:00
step     60 | loss 7.3288 | lr 3.00e-04 | grad 1.22 | tok/s 41389 | elapsed_h 0.010 | time 2026-06-07T15:46:08+00:00
step     70 | loss 7.2041 | lr 3.00e-04 | grad 1.52 | tok/s 41248 | elapsed_h 0.011 | time 2026-06-07T15:46:10+00:00
step     80 | loss 7.1396 | lr 3.00e-04 | grad 1.43 | tok/s 41176 | elapsed_h 0.011 | time 2026-06-07T15:46:12+00:00
step     90 | loss 7.0520 | lr 3.00e-04 | grad 1.44 | tok/s 41203 | elapsed_h 0.012 | time 2026-06-07T15:46:14+00:00
step    100 | loss 7.0579 | lr 3.00e-04 | grad 1.48 | tok/s 41206 | elapsed_h 0.012 | time 2026-06-07T15:46:16+00:00
step    110 | loss 6.9866 | lr 3.00e-04 | grad 1.38 | tok/s 41239 | elapsed_h 0.013 | time 2026-06-07T15:46:18+00:00
step    120 | loss 6.9469 | lr 3.00e-04 | grad 1.68 | tok/s 41224 | elapsed_h 0.013 | time 2026-06-07T15:46:20+00:00
step    130 | loss 6.9666 | lr 3.00e-04 | grad 1.52 | tok/s 41187 | elapsed_h 0.014 | time 2026-06-07T15:46:22+00:00
step    140 | loss 6.8468 | lr 3.00e-04 | grad 1.49 | tok/s 41232 | elapsed_h 0.015 | time 2026-06-07T15:46:24+00:00
step    150 | loss 6.8408 | lr 3.00e-04 | grad 1.66 | tok/s 41190 | elapsed_h 0.015 | time 2026-06-07T15:46:26+00:00
step    160 | loss 6.8313 | lr 3.00e-04 | grad 1.55 | tok/s 41196 | elapsed_h 0.016 | time 2026-06-07T15:46:28+00:00
step    170 | loss 6.7713 | lr 3.00e-04 | grad 1.58 | tok/s 40861 | elapsed_h 0.016 | time 2026-06-07T15:46:30+00:00
step    180 | loss 6.7755 | lr 3.00e-04 | grad 1.91 | tok/s 41023 | elapsed_h 0.017 | time 2026-06-07T15:46:32+00:00
step    190 | loss 6.6936 | lr 3.00e-04 | grad 1.48 | tok/s 40951 | elapsed_h 0.017 | time 2026-06-07T15:46:34+00:00
step    200 | loss 6.7202 | lr 3.00e-04 | grad 1.62 | tok/s 41021 | elapsed_h 0.018 | time 2026-06-07T15:46:36+00:00
step    210 | loss 6.6654 | lr 3.00e-04 | grad 1.77 | tok/s 40787 | elapsed_h 0.018 | time 2026-06-07T15:46:38+00:00
step    220 | loss 6.7136 | lr 3.00e-04 | grad 1.72 | tok/s 40770 | elapsed_h 0.019 | time 2026-06-07T15:46:40+00:00
step    230 | loss 6.6317 | lr 3.00e-04 | grad 1.68 | tok/s 40806 | elapsed_h 0.020 | time 2026-06-07T15:46:42+00:00
step    240 | loss 6.6607 | lr 3.00e-04 | grad 1.75 | tok/s 40627 | elapsed_h 0.020 | time 2026-06-07T15:46:44+00:00
step    250 | loss 6.7076 | lr 3.00e-04 | grad 1.50 | tok/s 40565 | elapsed_h 0.021 | time 2026-06-07T15:46:46+00:00
step    260 | loss 6.6085 | lr 3.00e-04 | grad 1.70 | tok/s 40711 | elapsed_h 0.021 | time 2026-06-07T15:46:48+00:00
step    270 | loss 6.5684 | lr 3.00e-04 | grad 1.45 | tok/s 40573 | elapsed_h 0.022 | time 2026-06-07T15:46:50+00:00
step    280 | loss 6.5873 | lr 3.00e-04 | grad 1.77 | tok/s 40412 | elapsed_h 0.022 | time 2026-06-07T15:46:53+00:00
step    290 | loss 6.4976 | lr 3.00e-04 | grad 1.45 | tok/s 40369 | elapsed_h 0.023 | time 2026-06-07T15:46:55+00:00
step    300 | loss 6.5613 | lr 3.00e-04 | grad 1.51 | tok/s 40275 | elapsed_h 0.024 | time 2026-06-07T15:46:57+00:00
step    310 | loss 6.5099 | lr 3.00e-04 | grad 1.62 | tok/s 40310 | elapsed_h 0.024 | time 2026-06-07T15:46:59+00:00
step    320 | loss 6.4632 | lr 3.00e-04 | grad 1.70 | tok/s 40226 | elapsed_h 0.025 | time 2026-06-07T15:47:01+00:00
step    330 | loss 6.5721 | lr 3.00e-04 | grad 1.70 | tok/s 40177 | elapsed_h 0.025 | time 2026-06-07T15:47:03+00:00
step    340 | loss 6.4525 | lr 3.00e-04 | grad 1.77 | tok/s 40191 | elapsed_h 0.026 | time 2026-06-07T15:47:05+00:00
step    350 | loss 6.4009 | lr 3.00e-04 | grad 1.49 | tok/s 40319 | elapsed_h 0.026 | time 2026-06-07T15:47:07+00:00
step    360 | loss 6.4422 | lr 3.00e-04 | grad 1.61 | tok/s 40073 | elapsed_h 0.027 | time 2026-06-07T15:47:09+00:00
step    370 | loss 6.5348 | lr 3.00e-04 | grad 1.76 | tok/s 40106 | elapsed_h 0.027 | time 2026-06-07T15:47:11+00:00
step    380 | loss 6.4209 | lr 3.00e-04 | grad 1.64 | tok/s 40043 | elapsed_h 0.028 | time 2026-06-07T15:47:13+00:00
step    390 | loss 6.2917 | lr 3.00e-04 | grad 1.56 | tok/s 40023 | elapsed_h 0.029 | time 2026-06-07T15:47:15+00:00
step    400 | loss 6.3615 | lr 3.00e-04 | grad 1.56 | tok/s 39937 | elapsed_h 0.029 | time 2026-06-07T15:47:17+00:00
step    410 | loss 6.3825 | lr 3.00e-04 | grad 1.70 | tok/s 39966 | elapsed_h 0.030 | time 2026-06-07T15:47:19+00:00
step    420 | loss 6.4786 | lr 3.00e-04 | grad 1.49 | tok/s 39955 | elapsed_h 0.030 | time 2026-06-07T15:47:21+00:00
step    430 | loss 6.4228 | lr 3.00e-04 | grad 1.65 | tok/s 39926 | elapsed_h 0.031 | time 2026-06-07T15:47:23+00:00
step    440 | loss 6.3686 | lr 3.00e-04 | grad 1.68 | tok/s 39879 | elapsed_h 0.032 | time 2026-06-07T15:47:25+00:00
step    450 | loss 6.3964 | lr 3.00e-04 | grad 1.78 | tok/s 39910 | elapsed_h 0.032 | time 2026-06-07T15:47:27+00:00
