Using device: cuda
Output directory: paper/review/wl_lm/gdn2_mlp_ref/leveltyped-gdn2-lm_100m_20260607_154554
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 131,755,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step     10 | loss 10.9361 | lr 3.00e-04 | grad 15.31 | tok/s 2081 | elapsed_h 0.014 | time 2026-06-07T15:46:36+00:00
step     20 | loss 10.7821 | lr 3.00e-04 | grad 15.06 | tok/s 66413 | elapsed_h 0.014 | time 2026-06-07T15:46:38+00:00
step     30 | loss 10.1185 | lr 3.00e-04 | grad 11.38 | tok/s 66173 | elapsed_h 0.014 | time 2026-06-07T15:46:39+00:00
step     40 | loss 8.8332 | lr 3.00e-04 | grad 1.54 | tok/s 66005 | elapsed_h 0.015 | time 2026-06-07T15:46:40+00:00
step     50 | loss 8.4573 | lr 3.00e-04 | grad 1.10 | tok/s 65814 | elapsed_h 0.015 | time 2026-06-07T15:46:41+00:00
step     60 | loss 8.1543 | lr 3.00e-04 | grad 1.08 | tok/s 65468 | elapsed_h 0.015 | time 2026-06-07T15:46:43+00:00
step     70 | loss 7.9461 | lr 3.00e-04 | grad 1.44 | tok/s 65535 | elapsed_h 0.016 | time 2026-06-07T15:46:44+00:00
step     80 | loss 7.8890 | lr 3.00e-04 | grad 1.64 | tok/s 66240 | elapsed_h 0.016 | time 2026-06-07T15:46:45+00:00
step     90 | loss 7.8626 | lr 3.00e-04 | grad 1.84 | tok/s 66027 | elapsed_h 0.017 | time 2026-06-07T15:46:46+00:00
step    100 | loss 7.7476 | lr 3.00e-04 | grad 1.55 | tok/s 65986 | elapsed_h 0.017 | time 2026-06-07T15:46:48+00:00
step    110 | loss 7.7839 | lr 3.00e-04 | grad 1.82 | tok/s 65672 | elapsed_h 0.017 | time 2026-06-07T15:46:49+00:00
step    120 | loss 7.7478 | lr 3.00e-04 | grad 1.81 | tok/s 65590 | elapsed_h 0.018 | time 2026-06-07T15:46:50+00:00
step    130 | loss 7.7088 | lr 3.00e-04 | grad 2.16 | tok/s 65415 | elapsed_h 0.018 | time 2026-06-07T15:46:51+00:00
step    140 | loss 7.6657 | lr 3.00e-04 | grad 2.14 | tok/s 65477 | elapsed_h 0.018 | time 2026-06-07T15:46:53+00:00
step    150 | loss 7.6443 | lr 3.00e-04 | grad 2.42 | tok/s 65379 | elapsed_h 0.019 | time 2026-06-07T15:46:54+00:00
step    160 | loss 7.5820 | lr 3.00e-04 | grad 2.45 | tok/s 65264 | elapsed_h 0.019 | time 2026-06-07T15:46:55+00:00
step    170 | loss 7.5556 | lr 3.00e-04 | grad 2.25 | tok/s 65100 | elapsed_h 0.019 | time 2026-06-07T15:46:56+00:00
step    180 | loss 7.6079 | lr 3.00e-04 | grad 3.31 | tok/s 64661 | elapsed_h 0.020 | time 2026-06-07T15:46:58+00:00
step    190 | loss 7.5275 | lr 3.00e-04 | grad 2.45 | tok/s 64505 | elapsed_h 0.020 | time 2026-06-07T15:46:59+00:00
step    200 | loss 7.5805 | lr 3.00e-04 | grad 3.09 | tok/s 64569 | elapsed_h 0.020 | time 2026-06-07T15:47:00+00:00
step    210 | loss 7.5003 | lr 3.00e-04 | grad 2.33 | tok/s 64634 | elapsed_h 0.021 | time 2026-06-07T15:47:02+00:00
step    220 | loss 7.4515 | lr 3.00e-04 | grad 2.52 | tok/s 64333 | elapsed_h 0.021 | time 2026-06-07T15:47:03+00:00
step    230 | loss 7.5271 | lr 3.00e-04 | grad 2.38 | tok/s 64385 | elapsed_h 0.021 | time 2026-06-07T15:47:04+00:00
step    240 | loss 7.4814 | lr 3.00e-04 | grad 2.28 | tok/s 64305 | elapsed_h 0.022 | time 2026-06-07T15:47:05+00:00
step    250 | loss 7.4752 | lr 3.00e-04 | grad 2.62 | tok/s 64063 | elapsed_h 0.022 | time 2026-06-07T15:47:07+00:00
step    260 | loss 7.4096 | lr 3.00e-04 | grad 2.64 | tok/s 64144 | elapsed_h 0.023 | time 2026-06-07T15:47:08+00:00
step    270 | loss 7.3915 | lr 3.00e-04 | grad 2.44 | tok/s 63902 | elapsed_h 0.023 | time 2026-06-07T15:47:09+00:00
step    280 | loss 7.3847 | lr 3.00e-04 | grad 2.48 | tok/s 63971 | elapsed_h 0.023 | time 2026-06-07T15:47:11+00:00
step    290 | loss 7.3667 | lr 3.00e-04 | grad 2.56 | tok/s 63872 | elapsed_h 0.024 | time 2026-06-07T15:47:12+00:00
step    300 | loss 7.3728 | lr 3.00e-04 | grad 2.52 | tok/s 63816 | elapsed_h 0.024 | time 2026-06-07T15:47:13+00:00
step    310 | loss 7.3547 | lr 3.00e-04 | grad 2.44 | tok/s 63465 | elapsed_h 0.024 | time 2026-06-07T15:47:14+00:00
step    320 | loss 7.3159 | lr 3.00e-04 | grad 3.12 | tok/s 63635 | elapsed_h 0.025 | time 2026-06-07T15:47:16+00:00
step    330 | loss 7.3073 | lr 3.00e-04 | grad 2.56 | tok/s 63404 | elapsed_h 0.025 | time 2026-06-07T15:47:17+00:00
step    340 | loss 7.3492 | lr 3.00e-04 | grad 2.73 | tok/s 63389 | elapsed_h 0.025 | time 2026-06-07T15:47:18+00:00
step    350 | loss 7.3878 | lr 3.00e-04 | grad 2.75 | tok/s 63367 | elapsed_h 0.026 | time 2026-06-07T15:47:20+00:00
step    360 | loss 7.2118 | lr 3.00e-04 | grad 2.44 | tok/s 63362 | elapsed_h 0.026 | time 2026-06-07T15:47:21+00:00
step    370 | loss 7.2173 | lr 3.00e-04 | grad 2.41 | tok/s 63249 | elapsed_h 0.026 | time 2026-06-07T15:47:22+00:00
step    380 | loss 7.2320 | lr 3.00e-04 | grad 2.44 | tok/s 63157 | elapsed_h 0.027 | time 2026-06-07T15:47:24+00:00
step    390 | loss 7.3003 | lr 3.00e-04 | grad 2.36 | tok/s 63215 | elapsed_h 0.027 | time 2026-06-07T15:47:25+00:00
step    400 | loss 7.3160 | lr 3.00e-04 | grad 2.25 | tok/s 63146 | elapsed_h 0.028 | time 2026-06-07T15:47:26+00:00
step    410 | loss 7.2354 | lr 3.00e-04 | grad 2.36 | tok/s 63068 | elapsed_h 0.028 | time 2026-06-07T15:47:28+00:00
step    420 | loss 7.2096 | lr 3.00e-04 | grad 2.33 | tok/s 62872 | elapsed_h 0.028 | time 2026-06-07T15:47:29+00:00
step    430 | loss 7.2559 | lr 3.00e-04 | grad 2.33 | tok/s 62930 | elapsed_h 0.029 | time 2026-06-07T15:47:30+00:00
step    440 | loss 7.2213 | lr 3.00e-04 | grad 2.52 | tok/s 62816 | elapsed_h 0.029 | time 2026-06-07T15:47:31+00:00
step    450 | loss 7.1675 | lr 3.00e-04 | grad 2.33 | tok/s 62654 | elapsed_h 0.029 | time 2026-06-07T15:47:33+00:00
step    460 | loss 7.1786 | lr 3.00e-04 | grad 2.98 | tok/s 62664 | elapsed_h 0.030 | time 2026-06-07T15:47:34+00:00
step    470 | loss 7.2105 | lr 3.00e-04 | grad 2.16 | tok/s 62984 | elapsed_h 0.030 | time 2026-06-07T15:47:35+00:00
step    480 | loss 7.1525 | lr 3.00e-04 | grad 2.59 | tok/s 62676 | elapsed_h 0.030 | time 2026-06-07T15:47:37+00:00
step    490 | loss 7.1737 | lr 3.00e-04 | grad 2.72 | tok/s 62549 | elapsed_h 0.031 | time 2026-06-07T15:47:38+00:00
step    500 | loss 7.1540 | lr 3.00e-04 | grad 4.44 | tok/s 62345 | elapsed_h 0.031 | time 2026-06-07T15:47:39+00:00
  >>> validation loss: 9.2494
step    510 | loss 7.1445 | lr 3.00e-04 | grad 2.50 | tok/s 15528 | elapsed_h 0.033 | time 2026-06-07T15:47:45+00:00
step    520 | loss 7.1418 | lr 3.00e-04 | grad 2.39 | tok/s 62016 | elapsed_h 0.033 | time 2026-06-07T15:47:46+00:00
step    530 | loss 7.1001 | lr 3.00e-04 | grad 2.50 | tok/s 62165 | elapsed_h 0.033 | time 2026-06-07T15:47:47+00:00
step    540 | loss 7.0964 | lr 3.00e-04 | grad 2.27 | tok/s 61947 | elapsed_h 0.034 | time 2026-06-07T15:47:49+00:00
step    550 | loss 7.1319 | lr 3.00e-04 | grad 7.72 | tok/s 62210 | elapsed_h 0.034 | time 2026-06-07T15:47:50+00:00
step    560 | loss 7.0591 | lr 3.00e-04 | grad 2.34 | tok/s 61873 | elapsed_h 0.035 | time 2026-06-07T15:47:51+00:00
step    570 | loss 7.1322 | lr 3.00e-04 | grad 2.22 | tok/s 62189 | elapsed_h 0.035 | time 2026-06-07T15:47:53+00:00
step    580 | loss 7.1245 | lr 3.00e-04 | grad 2.44 | tok/s 61853 | elapsed_h 0.035 | time 2026-06-07T15:47:54+00:00
step    590 | loss 7.0550 | lr 3.00e-04 | grad 2.67 | tok/s 62145 | elapsed_h 0.036 | time 2026-06-07T15:47:55+00:00
step    600 | loss 7.0259 | lr 3.00e-04 | grad 2.39 | tok/s 61640 | elapsed_h 0.036 | time 2026-06-07T15:47:57+00:00
step    610 | loss 7.0310 | lr 3.00e-04 | grad 2.45 | tok/s 61688 | elapsed_h 0.036 | time 2026-06-07T15:47:58+00:00
step    620 | loss 7.0663 | lr 3.00e-04 | grad 2.34 | tok/s 61748 | elapsed_h 0.037 | time 2026-06-07T15:47:59+00:00
step    630 | loss 7.0152 | lr 3.00e-04 | grad 2.52 | tok/s 61899 | elapsed_h 0.037 | time 2026-06-07T15:48:01+00:00
step    640 | loss 7.0471 | lr 3.00e-04 | grad 2.53 | tok/s 61613 | elapsed_h 0.038 | time 2026-06-07T15:48:02+00:00
step    650 | loss 7.0412 | lr 3.00e-04 | grad 3.03 | tok/s 61503 | elapsed_h 0.038 | time 2026-06-07T15:48:03+00:00
step    660 | loss 7.0688 | lr 3.00e-04 | grad 2.20 | tok/s 61610 | elapsed_h 0.038 | time 2026-06-07T15:48:05+00:00
step    670 | loss 6.9437 | lr 3.00e-04 | grad 2.31 | tok/s 61519 | elapsed_h 0.039 | time 2026-06-07T15:48:06+00:00
step    680 | loss 7.0318 | lr 3.00e-04 | grad 2.64 | tok/s 61433 | elapsed_h 0.039 | time 2026-06-07T15:48:07+00:00
