Using device: cuda
Output directory: paper/review/wl_lm/raw_gdn/leveltyped-gdn2-lm_100m_20260607_154529
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.1s, 1040.9s remaining for training.
step     10 | loss 10.8226 | lr 3.00e-04 | grad 8.31 | tok/s 7425 | elapsed_h 0.006 | time 2026-06-07T15:45:42+00:00
step     20 | loss 9.3396 | lr 3.00e-04 | grad 1.45 | tok/s 50291 | elapsed_h 0.006 | time 2026-06-07T15:45:44+00:00
step     30 | loss 8.3655 | lr 3.00e-04 | grad 1.16 | tok/s 50247 | elapsed_h 0.007 | time 2026-06-07T15:45:45+00:00
step     40 | loss 8.0172 | lr 3.00e-04 | grad 0.98 | tok/s 50171 | elapsed_h 0.007 | time 2026-06-07T15:45:47+00:00
step     50 | loss 7.8836 | lr 3.00e-04 | grad 1.28 | tok/s 50451 | elapsed_h 0.007 | time 2026-06-07T15:45:49+00:00
step     60 | loss 7.7578 | lr 3.00e-04 | grad 1.12 | tok/s 50345 | elapsed_h 0.008 | time 2026-06-07T15:45:50+00:00
step     70 | loss 7.6949 | lr 3.00e-04 | grad 1.43 | tok/s 50215 | elapsed_h 0.008 | time 2026-06-07T15:45:52+00:00
step     80 | loss 7.6078 | lr 3.00e-04 | grad 1.15 | tok/s 50249 | elapsed_h 0.009 | time 2026-06-07T15:45:54+00:00
step     90 | loss 7.5597 | lr 3.00e-04 | grad 1.20 | tok/s 50151 | elapsed_h 0.009 | time 2026-06-07T15:45:55+00:00
step    100 | loss 7.4870 | lr 3.00e-04 | grad 1.46 | tok/s 49909 | elapsed_h 0.010 | time 2026-06-07T15:45:57+00:00
step    110 | loss 7.4945 | lr 3.00e-04 | grad 1.32 | tok/s 49556 | elapsed_h 0.010 | time 2026-06-07T15:45:59+00:00
step    120 | loss 7.4532 | lr 3.00e-04 | grad 1.30 | tok/s 49774 | elapsed_h 0.011 | time 2026-06-07T15:46:00+00:00
step    130 | loss 7.3555 | lr 3.00e-04 | grad 1.24 | tok/s 49984 | elapsed_h 0.011 | time 2026-06-07T15:46:02+00:00
step    140 | loss 7.3980 | lr 3.00e-04 | grad 1.43 | tok/s 49759 | elapsed_h 0.012 | time 2026-06-07T15:46:04+00:00
step    150 | loss 7.3650 | lr 3.00e-04 | grad 1.28 | tok/s 49758 | elapsed_h 0.012 | time 2026-06-07T15:46:05+00:00
step    160 | loss 7.3315 | lr 3.00e-04 | grad 1.22 | tok/s 49680 | elapsed_h 0.012 | time 2026-06-07T15:46:07+00:00
step    170 | loss 7.2852 | lr 3.00e-04 | grad 1.23 | tok/s 49765 | elapsed_h 0.013 | time 2026-06-07T15:46:09+00:00
step    180 | loss 7.2657 | lr 3.00e-04 | grad 1.32 | tok/s 49630 | elapsed_h 0.013 | time 2026-06-07T15:46:10+00:00
step    190 | loss 7.2063 | lr 3.00e-04 | grad 1.31 | tok/s 49657 | elapsed_h 0.014 | time 2026-06-07T15:46:12+00:00
step    200 | loss 7.1690 | lr 3.00e-04 | grad 1.23 | tok/s 49814 | elapsed_h 0.014 | time 2026-06-07T15:46:14+00:00
step    210 | loss 7.2010 | lr 3.00e-04 | grad 2.50 | tok/s 49865 | elapsed_h 0.015 | time 2026-06-07T15:46:15+00:00
step    220 | loss 7.1353 | lr 3.00e-04 | grad 1.35 | tok/s 49677 | elapsed_h 0.015 | time 2026-06-07T15:46:17+00:00
step    230 | loss 7.1905 | lr 3.00e-04 | grad 1.55 | tok/s 49759 | elapsed_h 0.016 | time 2026-06-07T15:46:18+00:00
step    240 | loss 7.1174 | lr 3.00e-04 | grad 1.38 | tok/s 49700 | elapsed_h 0.016 | time 2026-06-07T15:46:20+00:00
step    250 | loss 7.0726 | lr 3.00e-04 | grad 1.56 | tok/s 49618 | elapsed_h 0.017 | time 2026-06-07T15:46:22+00:00
step    260 | loss 7.1560 | lr 3.00e-04 | grad 1.52 | tok/s 49236 | elapsed_h 0.017 | time 2026-06-07T15:46:23+00:00
step    270 | loss 7.0762 | lr 3.00e-04 | grad 1.29 | tok/s 49495 | elapsed_h 0.018 | time 2026-06-07T15:46:25+00:00
step    280 | loss 7.0590 | lr 3.00e-04 | grad 1.45 | tok/s 49030 | elapsed_h 0.018 | time 2026-06-07T15:46:27+00:00
step    290 | loss 7.0082 | lr 3.00e-04 | grad 1.42 | tok/s 48948 | elapsed_h 0.018 | time 2026-06-07T15:46:29+00:00
step    300 | loss 6.9698 | lr 3.00e-04 | grad 1.34 | tok/s 49079 | elapsed_h 0.019 | time 2026-06-07T15:46:30+00:00
