Using device: cuda
Output directory: paper/review/wl_lm/raw_gdnneg/leveltyped-gdn2-lm_100m_20260607_154535
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step     10 | loss 10.8607 | lr 3.00e-04 | grad 12.25 | tok/s 8270 | elapsed_h 0.006 | time 2026-06-07T15:45:47+00:00
step     20 | loss 9.6678 | lr 3.00e-04 | grad 1.75 | tok/s 49407 | elapsed_h 0.006 | time 2026-06-07T15:45:49+00:00
step     30 | loss 8.5139 | lr 3.00e-04 | grad 1.25 | tok/s 49766 | elapsed_h 0.006 | time 2026-06-07T15:45:50+00:00
step     40 | loss 8.1191 | lr 3.00e-04 | grad 0.87 | tok/s 49900 | elapsed_h 0.007 | time 2026-06-07T15:45:52+00:00
step     50 | loss 7.9551 | lr 3.00e-04 | grad 1.20 | tok/s 49803 | elapsed_h 0.007 | time 2026-06-07T15:45:54+00:00
step     60 | loss 7.8124 | lr 3.00e-04 | grad 1.30 | tok/s 49892 | elapsed_h 0.008 | time 2026-06-07T15:45:55+00:00
step     70 | loss 7.7642 | lr 3.00e-04 | grad 1.98 | tok/s 49579 | elapsed_h 0.008 | time 2026-06-07T15:45:57+00:00
step     80 | loss 7.6858 | lr 3.00e-04 | grad 1.36 | tok/s 49746 | elapsed_h 0.009 | time 2026-06-07T15:45:59+00:00
step     90 | loss 7.6452 | lr 3.00e-04 | grad 1.59 | tok/s 49625 | elapsed_h 0.009 | time 2026-06-07T15:46:00+00:00
step    100 | loss 7.5778 | lr 3.00e-04 | grad 1.85 | tok/s 49518 | elapsed_h 0.010 | time 2026-06-07T15:46:02+00:00
step    110 | loss 7.5821 | lr 3.00e-04 | grad 1.73 | tok/s 49471 | elapsed_h 0.010 | time 2026-06-07T15:46:04+00:00
step    120 | loss 7.5493 | lr 3.00e-04 | grad 1.74 | tok/s 49347 | elapsed_h 0.011 | time 2026-06-07T15:46:05+00:00
step    130 | loss 7.4506 | lr 3.00e-04 | grad 1.64 | tok/s 49399 | elapsed_h 0.011 | time 2026-06-07T15:46:07+00:00
step    140 | loss 7.4979 | lr 3.00e-04 | grad 1.74 | tok/s 49522 | elapsed_h 0.012 | time 2026-06-07T15:46:09+00:00
step    150 | loss 7.4705 | lr 3.00e-04 | grad 1.68 | tok/s 49106 | elapsed_h 0.012 | time 2026-06-07T15:46:10+00:00
step    160 | loss 7.4348 | lr 3.00e-04 | grad 1.62 | tok/s 49225 | elapsed_h 0.012 | time 2026-06-07T15:46:12+00:00
step    170 | loss 7.3942 | lr 3.00e-04 | grad 1.64 | tok/s 47786 | elapsed_h 0.013 | time 2026-06-07T15:46:14+00:00
step    180 | loss 7.3773 | lr 3.00e-04 | grad 1.70 | tok/s 48082 | elapsed_h 0.013 | time 2026-06-07T15:46:15+00:00
step    190 | loss 7.3219 | lr 3.00e-04 | grad 1.66 | tok/s 48121 | elapsed_h 0.014 | time 2026-06-07T15:46:17+00:00
step    200 | loss 7.2827 | lr 3.00e-04 | grad 1.58 | tok/s 48211 | elapsed_h 0.014 | time 2026-06-07T15:46:19+00:00
step    210 | loss 7.3269 | lr 3.00e-04 | grad 2.70 | tok/s 48258 | elapsed_h 0.015 | time 2026-06-07T15:46:20+00:00
