Using device: cuda
Output directory: paper/review/wl_lm/raw_none/leveltyped-gdn2-lm_100m_20260607_154523
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.5s, 1040.5s remaining for training.
step     10 | loss 10.4384 | lr 3.00e-04 | grad 2.78 | tok/s 5117 | elapsed_h 0.007 | time 2026-06-07T15:45:42+00:00
step     20 | loss 8.7600 | lr 3.00e-04 | grad 1.27 | tok/s 45710 | elapsed_h 0.008 | time 2026-06-07T15:45:44+00:00
step     30 | loss 7.9806 | lr 3.00e-04 | grad 1.01 | tok/s 45392 | elapsed_h 0.008 | time 2026-06-07T15:45:46+00:00
step     40 | loss 7.5928 | lr 3.00e-04 | grad 1.41 | tok/s 45174 | elapsed_h 0.009 | time 2026-06-07T15:45:48+00:00
step     50 | loss 7.4743 | lr 3.00e-04 | grad 1.20 | tok/s 45134 | elapsed_h 0.009 | time 2026-06-07T15:45:50+00:00
step     60 | loss 7.3316 | lr 3.00e-04 | grad 1.20 | tok/s 45002 | elapsed_h 0.010 | time 2026-06-07T15:45:52+00:00
step     70 | loss 7.2134 | lr 3.00e-04 | grad 1.47 | tok/s 44978 | elapsed_h 0.010 | time 2026-06-07T15:45:53+00:00
step     80 | loss 7.1462 | lr 3.00e-04 | grad 1.38 | tok/s 44554 | elapsed_h 0.011 | time 2026-06-07T15:45:55+00:00
step     90 | loss 7.0620 | lr 3.00e-04 | grad 1.42 | tok/s 44541 | elapsed_h 0.011 | time 2026-06-07T15:45:57+00:00
step    100 | loss 7.0734 | lr 3.00e-04 | grad 1.54 | tok/s 44309 | elapsed_h 0.012 | time 2026-06-07T15:45:59+00:00
step    110 | loss 6.9993 | lr 3.00e-04 | grad 1.35 | tok/s 44230 | elapsed_h 0.012 | time 2026-06-07T15:46:01+00:00
step    120 | loss 6.9586 | lr 3.00e-04 | grad 1.58 | tok/s 44170 | elapsed_h 0.013 | time 2026-06-07T15:46:03+00:00
