axis,tokens,emender_acc,gdn2_acc,emender_minus_gdn2
knowledge_overall,204800000,0.2895,0.3000,-0.0105
knowledge_overall,352256000,0.2700,0.3264,-0.0564
knowledge_overall,409600000,0.2960,0.3367,-0.0406
knowledge_overall,528384000,0.3500,0.3289,+0.0211
knowledge_overall,614400000,0.3402,0.3233,+0.0169
knowledge_overall,704512000,0.3300,0.3160,+0.0140
knowledge_overall,819200000,0.3191,0.3067,+0.0125
knowledge_overall,880640000,0.3133,0.3237,-0.0103
knowledge_overall,1024000000,0.3215,0.3633,-0.0419
knowledge_overall,1056768000,0.3233,0.3591,-0.0357
knowledge_overall,1228800000,0.3005,0.3367,-0.0361
reasoning_overall,204800000,0.3185,0.3154,+0.0031
reasoning_overall,352256000,0.3345,0.3186,+0.0159
reasoning_overall,409600000,0.3268,0.3198,+0.0070
reasoning_overall,528384000,0.3110,0.3147,-0.0037
reasoning_overall,614400000,0.3149,0.3110,+0.0038
reasoning_overall,704512000,0.3188,0.3095,+0.0093
reasoning_overall,819200000,0.3096,0.3076,+0.0020
reasoning_overall,880640000,0.3047,0.3097,-0.0050
reasoning_overall,1024000000,0.3202,0.3145,+0.0057
reasoning_overall,1056768000,0.3237,0.3165,+0.0072
reasoning_overall,1228800000,0.3304,0.3271,+0.0033
state_tracking,204800000,0.2209,0.1972,+0.0237
state_tracking,352256000,0.2248,0.1972,+0.0275
state_tracking,409600000,0.2248,0.1972,+0.0275
state_tracking,528384000,0.2248,0.2026,+0.0222
state_tracking,614400000,0.2248,0.2064,+0.0183
state_tracking,704512000,0.2248,0.2084,+0.0163
state_tracking,819200000,0.1994,0.2110,-0.0116
state_tracking,880640000,0.1858,0.2076,-0.0218
state_tracking,1024000000,0.2063,0.1995,+0.0068
state_tracking,1056768000,0.2110,0.2003,+0.0107
state_tracking,1228800000,0.2200,0.2041,+0.0158
logical_deduction,204800000,0.2164,0.2337,-0.0173
logical_deduction,352256000,0.2315,0.2386,-0.0071
logical_deduction,409600000,0.2329,0.2404,-0.0075
logical_deduction,528384000,0.2360,0.2339,+0.0020
logical_deduction,614400000,0.2272,0.2292,-0.0020
logical_deduction,704512000,0.2180,0.2282,-0.0102
logical_deduction,819200000,0.2209,0.2270,-0.0061
logical_deduction,880640000,0.2225,0.2303,-0.0079
logical_deduction,1024000000,0.2170,0.2382,-0.0212
logical_deduction,1056768000,0.2157,0.2382,-0.0225
logical_deduction,1228800000,0.2201,0.2382,-0.0181
web_of_lies,204800000,0.5373,0.5524,-0.0151
web_of_lies,352256000,0.5315,0.5122,+0.0193
web_of_lies,409600000,0.5224,0.4965,+0.0259
web_of_lies,528384000,0.5035,0.4641,+0.0394
web_of_lies,614400000,0.4967,0.4406,+0.0561
web_of_lies,704512000,0.4895,0.4590,+0.0305
web_of_lies,819200000,0.5077,0.4825,+0.0252
web_of_lies,880640000,0.5175,0.4972,+0.0203
web_of_lies,1024000000,0.5289,0.5315,-0.0026
web_of_lies,1056768000,0.5315,0.5259,+0.0056
web_of_lies,1228800000,0.5929,0.4965,+0.0964
st_three,204800000,0.3333,0.2933,+0.0400
st_three,352256000,0.3333,0.2885,+0.0448
st_three,409600000,0.3290,0.2867,+0.0423
st_three,528384000,0.3200,0.2983,+0.0217
st_three,614400000,0.3037,0.3067,-0.0029
st_three,704512000,0.2867,0.3184,-0.0317
st_three,819200000,0.2823,0.3333,-0.0510
st_three,880640000,0.2800,0.3213,-0.0413
st_three,1024000000,0.2963,0.2933,+0.0029
st_three,1056768000,0.3000,0.2933,+0.0067
st_three,1228800000,0.3130,0.2933,+0.0197
st_five,204800000,0.1933,0.1533,+0.0400
st_five,352256000,0.1933,0.1629,+0.0304
st_five,409600000,0.1955,0.1667,+0.0288
st_five,528384000,0.2000,0.1783,+0.0217
st_five,614400000,0.2130,0.1867,+0.0264
st_five,704512000,0.2267,0.1779,+0.0488
st_five,819200000,0.1876,0.1667,+0.0209
st_five,880640000,0.1667,0.1727,-0.0060
st_five,1024000000,0.2101,0.1867,+0.0234
st_five,1056768000,0.2200,0.1909,+0.0291
st_five,1228800000,0.2070,0.2133,-0.0064
st_seven,204800000,0.1274,0.1397,-0.0123
st_seven,352256000,0.1397,0.1344,+0.0053
st_seven,409600000,0.1421,0.1324,+0.0097
st_seven,528384000,0.1471,0.1238,+0.0232
st_seven,614400000,0.1506,0.1176,+0.0330
st_seven,704512000,0.1544,0.1209,+0.0335
st_seven,819200000,0.1209,0.1250,-0.0041
st_seven,880640000,0.1029,0.1206,-0.0176
st_seven,1024000000,0.1029,0.1103,-0.0074
st_seven,1056768000,0.1029,0.1079,-0.0050
st_seven,1228800000,0.1317,0.0956,+0.0361
