axis,tokens,emender_acc,gdn2_acc,emender_minus_gdn2
knowledge_overall,204800000,0.2979,0.2967,+0.0012
knowledge_overall,352256000,0.2700,0.3303,-0.0603
knowledge_overall,409600000,0.2960,0.3433,-0.0473
knowledge_overall,528384000,0.3500,0.3317,+0.0183
knowledge_overall,614400000,0.3419,0.3233,+0.0185
knowledge_overall,704512000,0.3333,0.3160,+0.0173
knowledge_overall,819200000,0.3160,0.3067,+0.0093
knowledge_overall,880640000,0.3067,0.3237,-0.0170
knowledge_overall,1024000000,0.3175,0.3633,-0.0458
knowledge_overall,1056768000,0.3200,0.3596,-0.0396
knowledge_overall,1228800000,0.2972,0.3400,-0.0428
reasoning_overall,204800000,0.3181,0.3154,+0.0027
reasoning_overall,352256000,0.3345,0.3179,+0.0166
reasoning_overall,409600000,0.3275,0.3188,+0.0086
reasoning_overall,528384000,0.3130,0.3132,-0.0002
reasoning_overall,614400000,0.3168,0.3091,+0.0077
reasoning_overall,704512000,0.3208,0.3076,+0.0132
reasoning_overall,819200000,0.3113,0.3057,+0.0056
reasoning_overall,880640000,0.3062,0.3089,-0.0027
reasoning_overall,1024000000,0.3217,0.3164,+0.0052
reasoning_overall,1056768000,0.3252,0.3185,+0.0067
reasoning_overall,1228800000,0.3261,0.3296,-0.0034
state_tracking,204800000,0.2209,0.1950,+0.0260
state_tracking,352256000,0.2248,0.1966,+0.0282
state_tracking,409600000,0.2248,0.1972,+0.0275
state_tracking,528384000,0.2248,0.2026,+0.0222
state_tracking,614400000,0.2237,0.2064,+0.0172
state_tracking,704512000,0.2225,0.2074,+0.0150
state_tracking,819200000,0.2001,0.2087,-0.0086
state_tracking,880640000,0.1881,0.2060,-0.0179
state_tracking,1024000000,0.2067,0.1995,+0.0072
state_tracking,1056768000,0.2110,0.2010,+0.0100
state_tracking,1228800000,0.2177,0.2087,+0.0090
logical_deduction,204800000,0.2145,0.2360,-0.0214
logical_deduction,352256000,0.2315,0.2392,-0.0077
logical_deduction,409600000,0.2337,0.2404,-0.0068
logical_deduction,528384000,0.2382,0.2313,+0.0069
logical_deduction,614400000,0.2294,0.2247,+0.0047
logical_deduction,704512000,0.2202,0.2257,-0.0055
logical_deduction,819200000,0.2217,0.2270,-0.0053
logical_deduction,880640000,0.2225,0.2310,-0.0085
logical_deduction,1024000000,0.2170,0.2404,-0.0235
logical_deduction,1056768000,0.2157,0.2404,-0.0247
logical_deduction,1228800000,0.2179,0.2404,-0.0225
web_of_lies,204800000,0.5420,0.5524,-0.0104
web_of_lies,352256000,0.5245,0.5071,+0.0173
web_of_lies,409600000,0.5176,0.4895,+0.0281
web_of_lies,528384000,0.5035,0.4652,+0.0383
web_of_lies,614400000,0.5035,0.4476,+0.0559
web_of_lies,704512000,0.5035,0.4629,+0.0406
web_of_lies,819200000,0.5081,0.4825,+0.0255
web_of_lies,880640000,0.5105,0.4972,+0.0133
web_of_lies,1024000000,0.5219,0.5315,-0.0096
web_of_lies,1056768000,0.5245,0.5270,-0.0025
web_of_lies,1228800000,0.5791,0.5035,+0.0756
st_three,204800000,0.3299,0.2933,+0.0366
st_three,352256000,0.3467,0.2885,+0.0581
st_three,409600000,0.3380,0.2867,+0.0513
st_three,528384000,0.3200,0.2983,+0.0217
st_three,614400000,0.3037,0.3067,-0.0029
st_three,704512000,0.2867,0.3155,-0.0288
st_three,819200000,0.2867,0.3267,-0.0400
st_three,880640000,0.2867,0.3167,-0.0300
st_three,1024000000,0.3029,0.2933,+0.0096
st_three,1056768000,0.3067,0.2944,+0.0123
st_three,1228800000,0.3132,0.3000,+0.0132
st_five,204800000,0.1922,0.1467,+0.0456
st_five,352256000,0.1867,0.1611,+0.0256
st_five,409600000,0.1932,0.1667,+0.0265
st_five,528384000,0.2067,0.1783,+0.0284
st_five,614400000,0.2197,0.1867,+0.0330
st_five,704512000,0.2333,0.1779,+0.0555
st_five,819200000,0.1856,0.1667,+0.0189
st_five,880640000,0.1600,0.1727,-0.0127
st_five,1024000000,0.2088,0.1867,+0.0222
st_five,1056768000,0.2200,0.1920,+0.0280
st_five,1228800000,0.2070,0.2200,-0.0130
st_seven,204800000,0.1324,0.1397,-0.0074
st_seven,352256000,0.1324,0.1344,-0.0021
st_seven,409600000,0.1347,0.1324,+0.0024
st_seven,528384000,0.1397,0.1238,+0.0159
st_seven,614400000,0.1397,0.1176,+0.0221
st_seven,704512000,0.1397,0.1209,+0.0188
st_seven,819200000,0.1206,0.1250,-0.0044
st_seven,880640000,0.1103,0.1206,-0.0103
st_seven,1024000000,0.0983,0.1103,-0.0120
st_seven,1056768000,0.0956,0.1079,-0.0124
st_seven,1228800000,0.1243,0.0956,+0.0287
