model,final_step,category,n,acc,chance,p_one_sided_ge
emender,150500,arc_easy,50,0.400,0.250,0.0139
emender,150500,bbh_web_of_lies,143,0.580,0.500,0.0327
emender,150500,bbh_boolean_expressions,145,0.572,0.500,0.0482
emender,150500,bbh_formal_fallacies,151,0.570,0.500,0.0517
emender,150500,sciq,50,0.340,0.250,0.0983
emender,150500,bbh_logical_deduction_seven_objects,149,0.181,0.143,0.1132
emender,150500,bbh_date_understanding,145,0.193,0.167,0.2254
emender,150500,folio,150,0.360,0.333,0.2702
emender,150500,bbh_disambiguation_qa,142,0.345,0.333,0.4141
emender,150500,bbh_tracking_shuffled_objects_five_objects,150,0.207,0.200,0.4513
emender,150500,arc_challenge,50,0.260,0.250,0.4890
emender,150500,bbh_tracking_shuffled_objects_three_objects,150,0.313,0.333,0.7257
emender,150500,hellaswag,50,0.220,0.250,0.7378
emender,150500,bbh_tracking_shuffled_objects_seven_objects,136,0.125,0.143,0.7590
emender,150500,bbh_logical_deduction_three_objects,146,0.301,0.333,0.8173
emender,150500,bbh_logical_deduction_five_objects,150,0.173,0.200,0.8201
emender,150500,openbookqa,50,0.200,0.250,0.8363
emender,150500,bbh_causal_judgement,146,0.445,0.500,0.9204
emender,150500,reclor,145,0.193,0.250,0.9566
emender,150500,boolq,50,0.360,0.500,0.9836
gdn2,150000,arc_easy,50,0.420,0.250,0.0063
gdn2,150000,bbh_date_understanding,145,0.241,0.167,0.0134
gdn2,150000,sciq,50,0.380,0.250,0.0287
gdn2,150000,bbh_boolean_expressions,145,0.572,0.500,0.0482
gdn2,150000,folio,150,0.373,0.333,0.1701
gdn2,150000,bbh_formal_fallacies,151,0.536,0.500,0.2079
gdn2,150000,bbh_logical_deduction_seven_objects,149,0.168,0.143,0.2222
gdn2,150000,boolq,50,0.560,0.500,0.2399
gdn2,150000,bbh_logical_deduction_five_objects,150,0.220,0.200,0.2997
gdn2,150000,bbh_tracking_shuffled_objects_five_objects,150,0.220,0.200,0.2997
gdn2,150000,bbh_causal_judgement,146,0.514,0.500,0.4020
gdn2,150000,hellaswag,50,0.260,0.250,0.4890
gdn2,150000,bbh_web_of_lies,143,0.503,0.500,0.5000
gdn2,150000,bbh_logical_deduction_three_objects,146,0.336,0.333,0.5078
gdn2,150000,openbookqa,50,0.220,0.250,0.7378
gdn2,150000,bbh_disambiguation_qa,142,0.310,0.333,0.7508
gdn2,150000,bbh_tracking_shuffled_objects_three_objects,150,0.300,0.333,0.8294
gdn2,150000,arc_challenge,50,0.200,0.250,0.8363
gdn2,150000,reclor,145,0.214,0.250,0.8658
gdn2,150000,bbh_tracking_shuffled_objects_seven_objects,136,0.096,0.143,0.9613
